Rank,Symbol,Momentum,Volatility,Score
1,BAJFINANCE,0.169916,0.017097,9.9386
2,UPL,0.174648,0.019074,9.1565
3,SRF,0.209953,0.0243,8.6402
4,SBICARD,0.151285,0.017671,8.561
5,BAJAJFINSV,0.118861,0.017407,6.8281
6,MARUTI,0.093226,0.014465,6.445
7,TATACONSUM,0.079918,0.015405,5.1878
8,KOTAKBANK,0.081633,0.017116,4.7693
9,MEDANTA,0.108564,0.024426,4.4446
10,INDUSINDBK,0.057873,0.016029,3.6105
11,SBILIFE,0.046613,0.013184,3.5356
12,GLAXO,0.112999,0.033665,3.3565
13,BAJAJHLDNG,0.096669,0.028944,3.3398
14,SUNDARMFIN,0.104835,0.033127,3.1647
15,MUTHOOTFIN,0.05698,0.018169,3.1361
16,LLOYDSME,0.069825,0.027686,2.522
17,CHOLAFIN,0.060773,0.02452,2.4785
18,BERGEPAINT,0.034211,0.014604,2.3425
19,SHREECEM,0.029511,0.016106,1.8323
20,PATANJALI,0.020948,0.012453,1.6822
