Rank,Symbol,Momentum,Volatility,Score
1,IPCALAB,0.51885,0.023733,21.8618
2,DIVISLAB,0.489524,0.024489,19.9898
3,MRF,0.531581,0.027994,18.9892
4,HTMEDIA,0.416181,0.021985,18.9299
5,PNB,0.457473,0.03201,14.2914
6,ANDHRABANK,0.368827,0.026999,13.661
7,EIHOTEL,0.236476,0.017361,13.621
8,ROLTA,0.441302,0.035255,12.5175
9,KANSAINER,0.135415,0.011383,11.8967
10,SUNPHARMA,0.234563,0.019725,11.8919
11,POLARIS,0.478604,0.041037,11.6627
12,INGVYSYABK,0.399901,0.034423,11.6172
13,OFSS,0.343791,0.030561,11.2494
14,KOTAKBANK,0.292996,0.026432,11.085
15,SBIN,0.221071,0.020543,10.7612
16,SYNDIBANK,0.351542,0.032928,10.676
17,GESHIP,0.282798,0.027319,10.3517
18,STLTECH,0.471338,0.046405,10.157
19,BANKINDIA,0.337565,0.034653,9.7414
20,DCHL,0.43856,0.045172,9.7086
