Rank,Symbol,Momentum,Volatility,Score
1,VGUARD,0.301802,0.017714,17.0373
2,EIHOTEL,0.323657,0.021963,14.7364
3,INDIGO,0.433175,0.030343,14.2761
4,LT,0.183328,0.014553,12.5968
5,SKFINDIA,0.135995,0.011136,12.2123
6,HINDUNILVR,0.193769,0.016064,12.0623
7,COLPAL,0.2003,0.017147,11.6812
8,SUPREMEIND,0.218766,0.019145,11.427
9,BLUEDART,0.17945,0.016841,10.6558
10,BANKINDIA,0.329245,0.031112,10.5827
11,COROMANDEL,0.181508,0.017629,10.2959
12,MANAPPURAM,0.259891,0.025701,10.1119
13,MARICO,0.199175,0.019726,10.097
14,FEDERALBNK,0.230211,0.023586,9.7606
15,BATAINDIA,0.223023,0.023389,9.5356
16,BANKBARODA,0.215716,0.02331,9.2541
17,ADANIPOWER,0.46198,0.052955,8.7239
18,MUTHOOTFIN,0.258105,0.029757,8.6738
19,CUMMINSIND,0.21214,0.024572,8.6334
20,DMART,0.244557,0.028769,8.5007
