Rank,Symbol,AnnualVolatility
1,ADANIENT,0.003405
2,HDFCBANK,0.146166
3,GLAXO,0.154786
4,SCHAEFFLER,0.172991
5,PFIZER,0.173932
6,HONAUT,0.176019
7,WIPRO,0.176197
8,HINDUNILVR,0.180797
9,GILLETTE,0.182406
10,KOTAKBANK,0.190646
11,SANOFI,0.19281
12,OIL,0.197125
13,PGHH,0.197466
14,COLPAL,0.199662
15,DBCORP,0.200708
16,BAJAJ-AUTO,0.201874
17,BAJAJCON,0.201928
18,GSKCONS,0.208079
19,DABUR,0.209166
20,CRISIL,0.21007
