Rank,Symbol,AnnualVolatility
1,ADANIENT,0.003499
2,HDFCBANK,0.143408
3,GLAXO,0.156544
4,SCHAEFFLER,0.177863
5,PFIZER,0.178684
6,WIPRO,0.179857
7,GILLETTE,0.179919
8,DBCORP,0.183596
9,HINDUNILVR,0.183994
10,KOTAKBANK,0.185041
11,HONAUT,0.187631
12,BAJAJ-AUTO,0.193607
13,SANOFI,0.194826
14,PGHH,0.198557
15,GSKCONS,0.199087
16,COLPAL,0.201141
17,DABUR,0.202268
18,CRISIL,0.203656
19,BAJAJCON,0.204786
20,OIL,0.208258
