Rank,Symbol,AnnualVolatility
1,GILLETTE,0.180646
2,ALKEM,0.195151
3,HDFCBANK,0.199159
4,SANOFI,0.201027
5,PGHH,0.206073
6,HINDUNILVR,0.210244
7,ITC,0.213136
8,SKFINDIA,0.215744
9,GSKCONS,0.216604
10,ATUL,0.222549
11,POWERGRID,0.225173
12,MARICO,0.225543
13,COLPAL,0.230367
14,GODREJAGRO,0.231111
15,GLAXO,0.232827
16,NHPC,0.233202
17,MRF,0.239832
18,INFY,0.242415
19,WIPRO,0.243904
20,CIPLA,0.245324
