Rank,Symbol,AnnualVolatility
1,HDFCBANK,0.191793
2,SJVN,0.202092
3,POWERGRID,0.214465
4,PGHH,0.217858
5,GLAXO,0.218395
6,MARUTI,0.219798
7,MOIL,0.224911
8,KARURVYSYA,0.226407
9,TCS,0.230564
10,GRASIM,0.230877
11,GSKCONS,0.234141
12,NHPC,0.237172
13,MPHASIS,0.237486
14,COLPAL,0.242389
15,WIPRO,0.244011
16,HEROMOTOCO,0.248195
17,ACC,0.25012
18,CUB,0.253972
19,DBCORP,0.256204
20,JAGRAN,0.26175
