Rank,Symbol,AnnualVolatility
1,HDFCBANK,0.152141
2,PIDILITIND,0.16129
3,ICICIBANK,0.168421
4,ACC,0.18229
5,SHREECEM,0.18588
6,ULTRACEMCO,0.18633
7,SBILIFE,0.18681
8,MARICO,0.187905
9,HINDUNILVR,0.18801
10,HDFCLIFE,0.189875
11,ITC,0.190775
12,APOLLOHOSP,0.193644
13,NESTLEIND,0.195867
14,SBIN,0.196548
15,SUNPHARMA,0.197059
16,PGHH,0.197667
17,BHARTIARTL,0.198267
18,UBL,0.198644
19,BRITANNIA,0.198849
20,NTPC,0.200168
