Rank,Symbol,AnnualVolatility
1,ADANIENT,0.003948
2,HDFCBANK,0.141368
3,GLAXO,0.152169
4,GILLETTE,0.166374
5,PFIZER,0.173989
6,GSKCONS,0.17542
7,LTM,0.175689
8,CRISIL,0.175978
9,PGHH,0.176752
10,HINDUNILVR,0.181066
11,DBCORP,0.185103
12,LTTS,0.186137
13,WIPRO,0.18718
14,BAJAJ-AUTO,0.1874
15,SANOFI,0.189549
16,COLPAL,0.191452
17,RAJESHEXPO,0.192521
18,KOTAKBANK,0.19503
19,LT,0.197662
20,HCLTECH,0.200689
