Rank,Symbol,AnnualVolatility
1,ADANIENT,0.040758
2,COLPAL,0.187123
3,IRFC,0.189701
4,NESTLEIND,0.193877
5,MRF,0.22275
6,BRITANNIA,0.223231
7,SANOFI,0.22728
8,DABUR,0.22816
9,PFIZER,0.230271
10,ALKEM,0.230412
11,TCS,0.233822
12,PGHH,0.23705
13,HINDUNILVR,0.239886
14,MARICO,0.243236
15,PETRONET,0.246353
16,BAJAJ-AUTO,0.247268
17,HDFCBANK,0.249681
18,CIPLA,0.24999
19,ZFCVINDIA,0.251763
20,SUNPHARMA,0.253534
