Rank,Symbol,AnnualVolatility
1,ADANIENT,0.017667
2,ERAINFRA,0.101692
3,SJVN,0.163351
4,GLAXO,0.184834
5,BOSCHLTD,0.199855
6,KANSAINER,0.199966
7,RELIGARE,0.200951
8,BRFL,0.205841
9,SANOFI,0.209427
10,CHENNPETRO,0.210627
11,ITC,0.213018
12,DIVISLAB,0.21397
13,PGHH,0.21437
14,BAJAJHLDNG,0.218082
15,BRITANNIA,0.218877
16,KARURVYSYA,0.219191
17,COLPAL,0.221196
18,POWERGRID,0.223434
19,GSKCONS,0.224346
20,TORNTPHARM,0.225208
