Rank,Symbol,AnnualVolatility
1,GILLETTE,0.114574
2,HDFCBANK,0.162115
3,SKFINDIA,0.170941
4,SANOFI,0.190592
5,PGHH,0.202388
6,ITC,0.203199
7,COLPAL,0.209988
8,HINDUNILVR,0.213429
9,MRF,0.214468
10,POWERGRID,0.214729
11,LT,0.216558
12,NTPC,0.224335
13,ASIANPAINT,0.225942
14,BRITANNIA,0.226953
15,HDFC,0.228691
16,HONAUT,0.233098
17,NHPC,0.237405
18,TATACHEM,0.240442
19,INFY,0.241578
20,ABB,0.241717
