Rank,Symbol,AnnualVolatility
1,ADANIENT,0.006456
2,BOSCHLTD,0.164061
3,PFIZER,0.17433
4,SJVN,0.19897
5,SUPREMEIND,0.211433
6,CASTROLIND,0.212995
7,3MINDIA,0.221858
8,SKFINDIA,0.22196
9,DRREDDY,0.225182
10,PGHH,0.227038
11,TRENT,0.227622
12,TATACHEM,0.229717
13,TCS,0.230254
14,CUMMINSIND,0.235676
15,GRASIM,0.237695
16,GLAXO,0.237783
17,ZYDUSLIFE,0.239242
18,CONCOR,0.244134
19,THERMAX,0.244586
20,CAIRN,0.245422
