Rank,Symbol,AnnualVolatility
1,ADANIENT,0.076221
2,PGHH,0.182321
3,NESTLEIND,0.190023
4,SUNPHARMA,0.191767
5,MRF,0.196803
6,ICICIBANK,0.199846
7,HINDUNILVR,0.201781
8,HDFCBANK,0.201927
9,DRREDDY,0.202723
10,BRITANNIA,0.20767
11,ITC,0.208644
12,TCS,0.210746
13,PIDILITIND,0.212929
14,ASIANPAINT,0.216598
15,RELIANCE,0.217353
16,SHREECEM,0.223036
17,DABUR,0.22408
18,INFY,0.225583
19,BHARTIARTL,0.226512
20,SBICARD,0.228438
