Rank,Symbol,AnnualVolatility
1,ADANIENT,0.010618
2,GLAXO,0.249966
3,PGHH,0.279811
4,BRITANNIA,0.304602
5,COLPAL,0.306487
6,PFIZER,0.330529
7,CASTROLIND,0.339717
8,BOSCHLTD,0.344565
9,RELIGARE,0.351764
10,HINDUNILVR,0.366104
11,ASIANPAINT,0.368391
12,JSWDULUX,0.373285
13,GODREJCP,0.374742
14,IGL,0.376401
15,GILLETTE,0.380991
16,MARICO,0.383313
17,STERLINBIO,0.392004
18,CONCOR,0.403231
19,TATACONSUM,0.406531
20,ITC,0.406596
