Rank,Symbol,Momentum
1,HDFCAMC,0.525529
2,GUJENERGY,0.461212
3,GODREJPROP,0.414479
4,INDIGO,0.400656
5,TATACONSUM,0.399585
6,BEL,0.394916
7,BAJFINANCE,0.393939
8,HINDPETRO,0.352254
9,SRF,0.350578
10,SBIN,0.34971
11,SOLARINDS,0.343138
12,SIEMENS,0.339411
13,TRENT,0.335605
14,FEDERALBNK,0.330878
15,PRESTIGE,0.328213
16,BAJAJFINSV,0.327858
17,HDFCLIFE,0.325668
18,TITAN,0.313358
19,ABB,0.308069
20,SHREECEM,0.305099
