Rank,Symbol,Momentum
1,RELINFRA,1.781769
2,RNRL,1.764615
3,LITL,1.30658
4,JPPOWER,1.258114
5,HUBTOWN,1.233926
6,TORNTPOWER,1.074134
7,GOLDTECH,1.045305
8,JINDALSTEL,0.958447
9,VEDL,0.899007
10,UCOBANK,0.897155
11,VOLTAS,0.851088
12,IFCI,0.82906
13,NLCINDIA,0.828715
14,BBTC,0.812857
15,EMBDL,0.80128
16,MRPL,0.771242
17,KOTAKBANK,0.73667
18,RELCAPITAL,0.730621
19,HCC,0.709745
20,JMFINANCIL,0.693552
