Rank,Symbol,Momentum
1,ESSAROIL,5.190809
2,JINDALSTEL,3.365867
3,RNRL,3.119101
4,NLCINDIA,2.561295
5,MRPL,2.400488
6,JAICORPLTD,2.287049
7,LITL,2.164777
8,RELINFRA,1.79419
9,INDUSINDBK,1.621704
10,VEDL,1.528363
11,JPPOWER,1.523454
12,RELCAPITAL,1.521195
13,JPASSOCIAT,1.513044
14,HUBTOWN,1.465571
15,GODREJIND,1.428364
16,UCOBANK,1.348659
17,PUNJLLOYD,1.325611
18,JSWSTEEL,1.301883
19,TTML,1.28327
20,HINDPETRO,1.226721
