Symbol
3MINDIA
ACC
AIAENG
AUBANK
ABBOTINDIA
ADANIENSOL
ADANIPORTS
ATGL
ABCAPITAL
AJANTPHARM
ALKEM
AMBUJACEM
APOLLOHOSP
ASHOKLEY
ASIANPAINT
ASTRAL
AUROPHARMA
DMART
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BAJAJHLDNG
BALKRISIND
BANKBARODA
BANKINDIA
BERGEPAINT
BEL
BHARATFORG
BHEL
BPCL
BHARTIARTL
BIOCON
BOSCHLTD
BRITANNIA
CRISIL
CANBK
CHOLAFIN
CIPLA
COALINDIA
COLPAL
CONCOR
COROMANDEL
CUMMINSIND
DLF
DABUR
DALBHARAT
DIVISLAB
DRREDDY
EICHERMOT
ENDURANCE
ESCORTS
FEDERALBNK
FORTIS
GAIL
GICRE
GLAXO
GODREJCP
GODREJIND
GODREJPROP
GRASIM
HCLTECH
HDFCAMC
HDFCBANK
HDFCLIFE
HAVELLS
HEROMOTOCO
HINDALCO
HAL
HINDPETRO
HINDUNILVR
HINDZINC
HONAUT
ICICIBANK
ICICIGI
ICICIPRULI
IDFCFIRSTB
ITC
INDHOTEL
IOC
INDUSTOWER
INDUSINDBK
NAUKRI
INFY
INDIGO
IPCALAB
JSWENERGY
JSWSTEEL
JINDALSTEL
JUBLFOOD
KOTAKBANK
LTF
LTTS
LICHSGFIN
LTM
LT
LUPIN
MRF
M&MFIN
M&M
MARICO
MARUTI
MFSL
MPHASIS
MUTHOOTFIN
NHPC
NTPC
NESTLEIND
OBEROIRLTY
ONGC
OIL
OFSS
PIIND
PAGEIND
PETRONET
PHOENIXLTD
PIDILITIND
PFC
POWERGRID
PRESTIGE
PNB
RECLTD
RELIANCE
SBILIFE
SRF
SHREECEM
SHRIRAMFIN
SIEMENS
SOLARINDS
SBIN
SAIL
SUNPHARMA
SUNDARMFIN
SUPREMEIND
TVSMOTOR
TCS
TATACONSUM
TMPV
TATAPOWER
TATASTEEL
TECHM
NIACL
THERMAX
TITAN
TORNTPHARM
TORNTPOWER
TRENT
UPL
ULTRACEMCO
UNIONBANK
UBL
UNITDSPR
VBL
IDEA
VOLTAS
WIPRO
ZYDUSLIFE
GUJENERGY
IGL
SYNGENE
SUNTV
EMAMILTD
BANDHANBNK
ABFRL
PGHH
SKFINDIA
SUNDRMFAST
BAYERCROP
ZEEL
RAMCOCEM
ATUL
ISEC
BATAINDIA
KANSAINER
WHIRLPOOL
VINATIORGA
CROMPTON
PFIZER
RAJESHEXPO
RELAXO
NAM-INDIA
AAVAS
HDFC
SANOFI
NATCOPHARM
HATSUN
GSPL
APLLTD
GLENMARK
MINDTREE
EXIDEIND
APOLLOTYRE
MANAPPURAM
NMDC
PEL
CASTROLIND
CHOLAHLDNG
CUB
DHANI
GILLETTE
AMARAJABAT
MOTILALOFS
RBLBANK
MGL
TTKPRESTIG
GMRAIRPORT
VGUARD
IBULHSGFIN
GODREJAGRO
CESC
BBTC
SJVN
MOTHERSON
SYMPHONY
ZFCVINDIA
NLCINDIA
NATIONALUM
MRPL
HUDCO
FRETAIL
ERIS
EDELWEISS
SHRIRAMCIT
EIHOTEL
UCOBANK
QUESS
PNBHOUSING
JUBLPHARMA
IOB
IDBI
HEXAWARE
ADANIPOWER
CENTRALBK
BLUEDART
VEDL
VARROC
TATAMTRDVR
STRTECH
NBCC
MAHINDCIE
KRBL
ENGINERSIN
INDIANB
HEG
GRAPHITE
FCONSUMER
YESBANK
TATACHEM
CORPBANK
ALBK
ORIENTBANK
