Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,IGL,3.4701,0.36725,0.36725,0.250986,1.463225,1.463225,3.6471,3.2932
2,CRISIL,2.9002,0.18071,0.325194,0.217023,0.832679,1.49843,2.4541,3.3463
3,IDEA,2.6987,0.379775,0.267722,0.326998,1.1614,0.818727,3.0761,2.3213
4,ASIANPAINT,2.4983,0.24446,0.173468,0.238881,1.023353,0.726169,2.8149,2.1817
5,PETRONET,2.2759,0.229208,0.355419,0.374895,0.611393,0.94805,2.0355,2.5163
6,DISHTV,2.1371,0.188341,0.408326,0.421024,0.447339,0.969839,1.7251,2.5492
7,HINDUNILVR,2.0568,0.194625,0.099618,0.241344,0.806421,0.412764,2.4045,1.7091
8,COLPAL,1.9811,0.159877,0.129522,0.249295,0.641318,0.519555,2.0921,1.8701
9,3MINDIA,1.9345,0.230529,0.085034,0.296478,0.777558,0.286815,2.3498,1.5191
10,BRITANNIA,1.8833,0.219369,0.025974,0.252171,0.869921,0.103002,2.5246,1.2419
11,ITC,1.8323,0.093741,0.157316,0.243979,0.384219,0.644794,1.6057,2.059
12,PFIZER,1.8136,0.067072,0.17913,0.2389,0.280752,0.749812,1.4099,2.2173
13,BOSCHLTD,1.7562,0.058072,0.124634,0.192522,0.301639,0.647376,1.4494,2.0629
14,GSKCONS,1.7528,0.058892,0.169128,0.237939,0.247508,0.710806,1.347,2.1585
15,GMDCLTD,1.7283,0.190184,0.144741,0.387681,0.490569,0.373352,1.8069,1.6496
16,PIDILITIND,1.6857,0.128082,0.083196,0.261562,0.489682,0.318075,1.8052,1.5663
17,LUPIN,1.6583,0.127141,0.110316,0.30114,0.422197,0.366326,1.6775,1.639
18,GILLETTE,1.6564,0.125932,0.052501,0.235569,0.534586,0.222868,1.8902,1.4227
19,TITAN,1.5675,0.048326,0.238233,0.385304,0.125423,0.618299,1.116,2.019
20,WOCKPHARMA,1.5667,0.077623,0.251477,0.450371,0.172354,0.558376,1.2048,1.9287
