Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ADANIPOWER,3.0709,1.754054,0.439266,0.676378,2.593303,0.649437,5.049,1.0929
2,BATAINDIA,2.6261,0.368649,0.54793,0.292509,1.2603,1.873208,2.5531,2.6991
3,SANOFI,2.5164,0.219409,0.351065,0.189524,1.157683,1.852354,2.361,2.6718
4,DIVISLAB,2.1851,0.405028,0.387358,0.321819,1.258558,1.203652,2.5498,1.8203
5,HINDUNILVR,1.8682,0.133045,0.349967,0.21451,0.620228,1.63147,1.3546,2.3818
6,ABFRL,1.8,0.436059,0.213655,0.346437,1.258697,0.616722,2.5501,1.0499
7,TORNTPHARM,1.7015,0.209955,0.307924,0.268525,0.781883,1.146723,1.6573,1.7456
8,WIPRO,1.6973,0.276493,0.116181,0.226358,1.221484,0.51326,2.4804,0.9141
9,LTTS,1.6898,0.283863,0.682457,0.484489,0.585903,1.408613,1.2904,2.0893
10,TCS,1.5934,0.047657,0.472489,0.25768,0.184947,1.833626,0.5396,2.6472
11,GSKCONS,1.583,0.2744,0.176566,0.272865,1.005625,0.64708,2.0762,1.0898
12,BAJFINANCE,1.5718,0.165929,0.497159,0.355472,0.466786,1.39859,1.0673,2.0762
13,HAVELLS,1.5668,0.271722,0.24578,0.307931,0.882412,0.798167,1.8455,1.2881
14,COLPAL,1.489,0.120909,0.223664,0.204364,0.591632,1.094437,1.3011,1.677
15,GLENMARK,1.4394,0.16154,0.285635,0.277052,0.583069,1.030981,1.2851,1.5937
16,HEG,1.4284,0.182203,0.831909,0.591422,0.308076,1.406626,0.7702,2.0867
17,ASTRAL,1.3943,0.143736,0.394574,0.334221,0.430063,1.180577,0.9986,1.79
18,DMART,1.3865,0.107546,0.44411,0.335273,0.32077,1.324621,0.7939,1.9791
19,LTM,1.376,0.034483,0.677326,0.411356,0.083827,1.646569,0.3503,2.4017
20,BERGEPAINT,1.3737,0.157203,0.285381,0.289115,0.543738,0.987083,1.2114,1.5361
