Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JUBLFOOD,4.0689,0.608271,1.984822,0.337244,1.803653,5.885425,3.0851,5.0528
2,BRITANNIA,3.1348,0.31226,0.703541,0.178466,1.749692,3.942156,3.0036,3.266
3,TCS,2.6317,0.41055,0.577352,0.218755,1.876755,2.639262,3.1955,2.068
4,LTM,2.6122,0.546662,1.132296,0.357461,1.52929,3.167606,2.6706,2.5538
5,DHANI,2.5846,0.859244,1.789398,0.569588,1.508535,3.141562,2.6393,2.5298
6,MINDTREE,2.5347,0.614957,0.87392,0.341871,1.798795,2.556283,3.0777,1.9917
7,MPHASIS,2.32,0.49483,0.822185,0.324151,1.526542,2.536428,2.6665,1.9734
8,HINDUNILVR,2.2587,0.213464,0.502747,0.173776,1.228389,2.893077,2.2161,2.3014
9,KOTAKBANK,2.2148,0.324343,0.377738,0.189086,1.715316,1.9977,2.9516,1.4781
10,TECHM,2.0215,0.303082,0.724415,0.278109,1.089795,2.604788,2.0068,2.0363
11,DMART,1.8926,0.295765,0.846135,0.323719,0.913646,2.613793,1.7407,2.0446
12,PFIZER,1.813,0.261554,0.443521,0.22154,1.180618,2.001989,2.1439,1.482
13,BHARATFIN,1.7999,0.160446,0.635322,0.229717,0.69845,2.765679,1.4156,2.1842
14,HEXAWARE,1.7492,0.364354,0.86202,0.384079,0.948643,2.244383,1.7935,1.7049
15,BAJFINANCE,1.7488,0.299435,0.642857,0.29848,1.0032,2.15377,1.8759,1.6216
16,JSWSTEEL,1.6944,0.231117,0.684102,0.288796,0.800278,2.368807,1.5694,1.8193
17,INFY,1.6642,0.263911,0.410064,0.233174,1.131818,1.758615,2.0702,1.2582
18,HDFCBANK,1.5174,0.135559,0.264324,0.147645,0.918143,1.790264,1.7475,1.2873
19,BATAINDIA,1.4703,0.141756,0.621356,0.267269,0.530389,2.324837,1.1617,1.7789
20,VBL,1.4624,0.275451,0.490654,0.29669,0.928411,1.653757,1.763,1.1618
