Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ITC,3.0362,0.214636,0.747095,0.210584,1.019242,3.547723,2.0803,3.992
2,INDIANB,2.7723,0.581211,0.937248,0.395074,1.471145,2.372338,2.9181,2.6264
3,CUMMINSIND,2.5116,0.298023,0.697373,0.274613,1.085247,2.539473,2.2027,2.8206
4,CGPOWER,2.3967,0.336464,0.922823,0.358361,0.938898,2.575123,1.9314,2.862
5,UNIONBANK,2.2858,0.716707,0.654609,0.463183,1.547352,1.413284,3.0594,1.5121
6,SUPREMEIND,2.1639,0.417183,0.437206,0.30031,1.389172,1.455846,2.7661,1.5616
7,VBL,2.1068,0.232779,1.112147,0.415084,0.5608,2.679331,1.2304,2.9831
8,HAL,2.0462,0.139871,0.980118,0.346787,0.403333,2.826278,0.9385,3.1538
9,SOLARINDS,1.9893,0.18939,0.823584,0.333866,0.567263,2.466809,1.2424,2.7362
10,TVSMOTOR,1.8208,0.133316,0.720196,0.302711,0.440408,2.379155,1.0072,2.6343
11,M&MFIN,1.7852,0.296663,0.752422,0.405801,0.731055,1.854167,1.546,2.0244
12,BRITANNIA,1.7758,0.227508,0.334094,0.232029,0.980517,1.439878,2.0085,1.543
13,BANKBARODA,1.6651,0.346247,0.572102,0.399657,0.86636,1.431482,1.7969,1.5333
14,BANKINDIA,1.6587,0.484283,0.448706,0.43577,1.111326,1.029684,2.251,1.0665
15,M&M,1.5378,0.063712,0.625962,0.280415,0.227205,2.232269,0.6119,2.4637
16,INDHOTEL,1.5332,0.155257,0.630446,0.339471,0.457349,1.857141,1.0386,2.0278
17,PNB,1.5075,0.455344,0.339623,0.419328,1.085891,0.809922,2.2039,0.8111
18,JINDALSTEL,1.5065,0.413244,0.447565,0.435655,0.948557,1.027338,1.9493,1.0637
19,IRFC,1.5031,0.343458,0.300905,0.334888,1.025592,0.898526,2.0921,0.9141
20,PFC,1.4847,0.252108,0.267065,0.267369,0.942922,0.998863,1.9388,1.0307
