Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,UNITECH,5.8015,0.078218,7.8788,0.646263,0.12103,12.191314,0.1473,11.4556
2,HTMEDIA,2.5861,0.55239,0.940154,0.359569,1.536254,2.614668,2.7576,2.4147
3,BHARTIARTL,2.5789,0.569412,0.908192,0.36079,1.578235,2.517231,2.835,2.3227
4,GLENMARK,2.0828,0.840792,1.012674,0.583615,1.440663,1.735176,2.5813,1.5844
5,ABAN,2.0576,0.821599,0.930372,0.56392,1.456943,1.64983,2.6113,1.5038
6,JSWSTEEL,1.6653,0.665145,0.580237,0.512843,1.296976,1.131412,2.3162,1.0144
7,ZEEL,1.6644,0.430823,0.82983,0.456286,0.944195,1.818662,1.6656,1.6632
8,OPTOCIRCUI,1.6315,0.372231,1.164236,0.526344,0.707201,2.211927,1.2285,2.0345
9,ADANIENT,1.59,0.002778,0.005043,0.002987,0.930151,1.688523,1.6397,1.5404
10,J&KBANK,1.5807,0.538645,0.454668,0.432299,1.246001,1.051745,2.2222,0.9392
11,CENTBOP,1.5663,0.514523,0.48374,0.430888,1.194099,1.122658,2.1265,1.0062
12,DIVISLAB,1.5577,0.467849,0.753917,0.485242,0.964157,1.553693,1.7024,1.4131
13,VEDL,1.5321,1.343511,0.598958,0.95294,1.409859,0.628537,2.5245,0.5397
14,OFSS,1.5104,0.498087,0.583002,0.466311,1.068142,1.250243,1.8942,1.1266
15,YESBANK,1.4642,0.552124,0.397219,0.45565,1.211728,0.871765,2.159,0.7693
16,KTKBANK,1.4531,0.459328,0.660463,0.484458,0.948129,1.363304,1.6728,1.2333
17,GODREJIND,1.4207,0.696885,0.544419,0.605614,1.15071,0.898955,2.0465,0.795
18,DCHL,1.3769,0.518968,0.596927,0.527396,0.984019,1.131839,1.739,1.0148
19,KOTAKBANK,1.3463,0.465211,0.654686,0.52302,0.88947,1.251742,1.5646,1.128
20,RELIANCE,1.337,0.166667,0.71308,0.349766,0.476508,2.038733,0.803,1.871
