Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,COROMANDEL,3.9408,1.011776,2.207562,0.336679,3.005162,6.556865,3.6643,4.2173
2,TITAN,3.1696,0.769385,1.638842,0.302316,2.544965,5.42095,2.9963,3.3429
3,M&MFIN,2.4858,0.724394,1.804557,0.375513,1.929078,4.805581,2.1023,2.8692
4,UCOBANK,2.3661,0.947587,1.355131,0.386347,2.452685,3.507549,2.8624,1.8699
5,UBL,2.2327,1.083085,1.888582,0.504891,2.145184,3.740573,2.416,2.0493
6,BAJAJ-AUTO,2.0488,0.516662,1.097882,0.283541,1.822174,3.872033,1.9472,2.1505
7,CASTROLIND,1.9706,0.386453,1.124961,0.260912,1.481159,4.311642,1.4522,2.4889
8,CUMMINSIND,1.8888,0.410511,1.00985,0.258834,1.586,3.901531,1.6044,2.1732
9,ASIANPAINT,1.5883,0.304273,0.9513,0.249544,1.219315,3.812146,1.0721,2.1044
10,WOCKPHARMA,1.5695,1.188738,0.909918,0.519823,2.286814,1.750439,2.6216,0.5173
11,IGL,1.5188,0.439024,0.978659,0.304591,1.441355,3.213021,1.3944,1.6432
12,ZYDUSLIFE,1.4374,0.246763,1.147913,0.282061,0.874856,4.069736,0.5721,2.3027
13,ALBK,1.3789,0.448404,1.015524,0.334272,1.341437,3.038021,1.2494,1.5085
14,PIDILITIND,1.376,0.337668,1.090078,0.310581,1.087215,3.509807,0.8804,1.8717
15,VIJAYABANK,1.362,0.673,0.787393,0.372302,1.807674,2.114934,1.9261,0.7979
16,GSKCONS,1.3543,0.314066,0.794467,0.251966,1.246463,3.153078,1.1115,1.5971
17,BANKBARODA,1.3523,0.313981,0.891483,0.269818,1.163678,3.304017,0.9914,1.7133
18,JETAIRWAYS,1.3473,0.697061,1.602685,0.531796,1.310769,3.013722,1.2049,1.4898
19,INDUSINDBK,1.3147,0.467147,1.3625,0.415395,1.124584,3.280007,0.9346,1.6948
20,GUJENERGY,1.3108,0.376068,0.939759,0.305896,1.229399,3.07215,1.0868,1.5348
