Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JSWENERGY,3.8367,0.412972,3.247347,0.496771,0.831312,6.536911,1.6711,6.0022
2,ADANIGREEN,2.4642,0.855037,0.667192,0.422865,2.022011,1.577792,3.7339,1.1945
3,TATAPOWER,2.3147,0.620785,1.194415,0.471819,1.315728,2.53151,2.5103,2.1191
4,ADANIENSOL,2.2093,0.505094,1.48957,0.512775,0.985021,2.904918,1.9374,2.4811
5,ATGL,2.1348,0.260257,2.071134,0.562176,0.462945,3.684138,1.033,3.2365
6,TATAELXSI,2.0515,0.262794,1.210331,0.387119,0.678844,3.126506,1.407,2.6959
7,TITAN,2.0466,0.320385,0.679414,0.289153,1.108014,2.349672,2.1505,1.9428
8,SRF,1.9984,0.269761,0.999261,0.350179,0.770352,2.853568,1.5655,2.4313
9,PERSISTENT,1.9506,0.170394,1.235371,0.372703,0.457184,3.314628,1.023,2.8783
10,IRCTC,1.7174,0.399678,1.169204,0.515936,0.774665,2.26618,1.573,1.8619
11,SCHAEFFLER,1.6467,0.222145,0.67398,0.305584,0.726954,2.205547,1.4903,1.8031
12,SOLARINDS,1.5989,0.332884,0.787503,0.405859,0.820196,1.940338,1.6519,1.546
13,POLYCAB,1.5759,0.224368,0.693863,0.325973,0.688301,2.128588,1.4234,1.7285
14,NATIONALUM,1.543,0.379926,1.152738,0.556609,0.682573,2.071002,1.4135,1.6726
15,BAJAJHLDNG,1.5019,0.224931,0.424165,0.25769,0.872874,1.646026,1.7431,1.2606
16,UNITDSPR,1.5003,0.235354,0.507183,0.28969,0.812434,1.750776,1.6384,1.3622
17,INDHOTEL,1.4921,0.443121,0.592825,0.434662,1.019461,1.363876,1.9971,0.9871
18,ESCORTS,1.4822,0.338204,0.30186,0.286311,1.181245,1.054308,2.2773,0.687
19,OIL,1.4648,0.242545,0.795977,0.392863,0.617377,2.026092,1.3005,1.6291
20,ONGC,1.4234,0.354518,0.415086,0.344492,1.029104,1.204922,2.0138,0.833
