Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,WOCKPHARMA,2.6684,1.231742,3.121392,0.546283,2.25477,5.713876,2.6401,2.6967
2,BOSCHLTD,2.6454,0.713342,1.665622,0.304654,2.341481,5.467256,2.755,2.5357
3,GILLETTE,2.5101,0.782213,1.491381,0.314011,2.491037,4.749452,2.9532,2.067
4,ASHOKLEY,2.363,0.793814,2.921127,0.484498,1.638425,6.029178,1.8235,2.9026
5,PAGEIND,2.2629,0.867993,1.209779,0.328408,2.64303,3.683766,3.1546,1.3712
6,PGHH,2.1995,0.470591,1.330463,0.258147,1.822958,5.153896,2.068,2.3311
7,ZFCVINDIA,2.1055,0.483847,1.834936,0.328872,1.471232,5.579487,1.602,2.609
8,LUPIN,2.0763,0.432403,1.034025,0.225523,1.917333,4.585011,2.193,1.9597
9,AJANTPHARM,2.0608,0.777956,2.020734,0.427073,1.821599,4.731586,2.0662,2.0554
10,BHARATFORG,2.0419,0.433114,2.090334,0.354733,1.22096,5.892704,1.2704,2.8135
11,SPARC,1.9316,1.445455,2.000319,0.614209,2.353359,3.256738,2.7708,1.0924
12,BRITANNIA,1.8981,0.482297,1.487011,0.310947,1.55106,4.782203,1.7077,2.0884
13,PIDILITIND,1.8898,0.552591,1.141887,0.286329,1.929918,3.988031,2.2097,1.5699
14,GVT&D,1.7145,0.62663,1.671187,0.399428,1.568819,4.183952,1.7313,1.6978
15,BAJAJCON,1.669,0.704233,1.176881,0.360541,1.95327,3.26421,2.2406,1.0973
16,EICHERMOT,1.6302,0.358182,1.819576,0.358182,1.000002,5.080037,0.9776,2.2829
17,SCHAEFFLER,1.6192,0.400942,1.209746,0.285969,1.402045,4.230334,1.5103,1.7281
18,SUNDARMFIN,1.5771,0.295344,1.445348,0.29435,1.003378,4.910305,0.9821,2.1721
19,CENTRALBK,1.4859,0.6103,1.330367,0.385293,1.58399,3.452874,1.7514,1.2204
20,BEL,1.4683,0.464872,2.175164,0.471542,0.985854,4.612873,0.9588,1.9779
