Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,WOCKPHARMA,4.5102,1.290034,2.316005,0.501373,2.573003,4.619324,4.2583,4.762
2,SHREECEM,2.7263,0.265314,1.106983,0.276832,0.958392,3.998753,1.3733,4.0793
3,DIVISLAB,2.6527,0.457949,0.509166,0.231119,1.981445,2.203049,3.2013,2.1041
4,ULTRACEMCO,2.5726,0.32891,0.702955,0.234499,1.402606,2.997686,2.1671,2.9782
5,ZEEL,2.5211,0.588856,0.676715,0.315157,1.868451,2.147232,2.9994,2.0427
6,HINDUNILVR,2.438,0.323273,0.644622,0.232496,1.390445,2.772616,2.1453,2.7306
7,GODREJCP,2.4099,0.398892,0.589332,0.248443,1.605569,2.372108,2.5297,2.29
8,IPCALAB,2.1136,0.453768,0.817414,0.350004,1.296465,2.335444,1.9774,2.2497
9,SUNDARMFIN,1.8979,0.251161,0.564994,0.240288,1.045249,2.351317,1.5285,2.2672
10,UNITDSPR,1.7769,1.07331,0.549962,0.598921,1.792072,0.918254,2.863,0.6908
11,BAJAJFINSV,1.7414,0.464898,0.634546,0.369134,1.259428,1.719012,1.9112,1.5716
12,SUNPHARMA,1.7314,0.224452,0.482891,0.226205,0.992252,2.134752,1.4338,2.0289
13,GRASIM,1.6578,0.261586,0.455693,0.243754,1.073158,1.869483,1.5784,1.7372
14,CIPLA,1.6514,0.265102,0.368497,0.221907,1.194654,1.66059,1.7955,1.5074
15,TECHM,1.6494,0.383209,0.549331,0.325725,1.176478,1.686484,1.763,1.5359
16,BERGEPAINT,1.5798,0.3791,0.465637,0.31157,1.216741,1.494486,1.835,1.3247
17,M&MFIN,1.5667,0.338604,0.392613,0.273456,1.238241,1.435748,1.8734,1.26
18,ITC,1.4828,0.201058,0.426551,0.228598,0.879526,1.865943,1.2324,1.7333
19,EICHERMOT,1.4711,0.242414,0.468687,0.26349,0.92001,1.778765,1.3048,1.6374
20,HCLTECH,1.3517,0.227051,0.508687,0.287119,0.790789,1.771694,1.0739,1.6296
