Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,VEDL,2.8336,0.995591,6.311793,0.662742,1.502231,9.523763,2.2479,3.4193
2,STLTECH,2.6204,0.579749,5.775557,0.557085,1.040684,10.367468,1.3759,3.865
3,ZYDUSLIFE,2.5488,0.662025,2.359661,0.342115,1.935095,6.897272,3.0657,2.0319
4,ENGINERSIN,2.3374,1.027375,3.756108,0.5708,1.799886,6.580425,2.8103,1.8646
5,WELSPUNIND,2.1345,0.848958,3.808126,0.558749,1.51939,6.815446,2.2803,1.9887
6,JINDALSAW,2.1082,0.52188,5.19802,0.581431,0.897579,8.94005,1.1055,3.111
7,AUROPHARMA,1.9728,0.273801,4.557963,0.475807,0.575445,9.579432,0.4968,3.4487
8,INDUSINDBK,1.9222,0.569921,4.814332,0.598702,0.951928,8.041284,1.2082,2.6362
9,ASIANPAINT,1.886,0.474173,1.674119,0.298,1.591183,5.617848,2.416,1.3561
10,APOLLOTYRE,1.6966,0.664523,3.374648,0.543016,1.223762,6.214633,1.7218,1.6714
11,JSWSTEEL,1.6349,0.514609,5.361674,0.695319,0.740105,7.711096,0.8079,2.4618
12,SHREECEM,1.6039,0.427997,2.681093,0.411279,1.040649,6.518923,1.3758,1.8321
13,THERMAX,1.5638,0.295215,3.340985,0.435799,0.677411,7.666351,0.6895,2.4382
14,BAJAJ-AUTO,1.554,0.43365,2.525359,0.405532,1.069337,6.227278,1.43,1.678
15,CASTROLIND,1.5035,0.505348,1.304085,0.315561,1.601431,4.132599,2.4353,0.5716
16,GTL,1.3751,0.30263,0.719601,0.192223,1.574363,3.743565,2.3842,0.3661
17,CGPOWER,1.3732,0.496094,2.882913,0.497181,0.997815,5.798519,1.2949,1.4516
18,YESBANK,1.3695,0.374669,4.343268,0.607628,0.61661,7.147903,0.5746,2.1643
19,PGHH,1.3226,0.462279,1.819089,0.378443,1.22153,4.806773,1.7175,0.9277
20,CUMMINSIND,1.3026,0.460906,2.082941,0.410045,1.124038,5.079787,1.5333,1.0719
