Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,RECLTD,3.9878,1.009402,1.346307,0.299184,3.373854,4.499938,4.3225,3.6531
2,PFC,3.4776,0.857682,1.288551,0.300787,2.851463,4.283938,3.506,3.4491
3,SUPREMEIND,2.7673,0.634865,1.306792,0.314379,2.019425,4.156738,2.2055,3.329
4,POLYCAB,2.6152,0.61407,0.989963,0.279545,2.196679,3.54134,2.4826,2.7479
5,AUROPHARMA,2.2664,0.848139,0.534987,0.30113,2.816517,1.776595,3.4514,1.0814
6,IDFCFIRSTB,2.0846,0.524096,0.976563,0.30463,1.720436,3.205734,1.7382,2.431
7,ZYDUSLIFE,2.0339,0.36188,0.768893,0.230047,1.573069,3.342333,1.5079,2.56
8,HAL,1.9883,0.610208,0.784462,0.306776,1.989101,2.557119,2.1581,1.8185
9,LUPIN,1.7537,0.481517,0.630365,0.266669,1.805669,2.363845,1.8714,1.636
10,IRFC,1.6459,0.583056,1.23185,0.428731,1.359959,2.873248,1.1748,2.117
11,DRREDDY,1.5638,0.306979,0.385907,0.180596,1.69981,2.136855,1.706,1.4216
12,INDIANB,1.553,0.411075,1.337143,0.409446,1.003978,3.265738,0.6184,2.4876
13,SYNGENE,1.4674,0.420477,0.392696,0.22937,1.833177,1.712062,1.9144,1.0205
14,AJANTPHARM,1.4594,0.474732,0.401085,0.250964,1.891631,1.598176,2.0058,0.9129
15,TRENT,1.4562,0.486153,0.506044,0.277548,1.751597,1.823264,1.7869,1.1255
16,COLPAL,1.4552,0.367327,0.26493,0.184928,1.98632,1.432611,2.1538,0.7566
17,ZFCVINDIA,1.3211,0.359559,0.450268,0.23564,1.52588,1.91083,1.4341,1.2082
18,CGPOWER,1.3206,0.259722,0.791757,0.275435,0.942953,2.874566,0.523,2.1183
19,NTPC,1.3033,0.307576,0.385233,0.203316,1.512793,1.894745,1.4136,1.193
20,TORNTPHARM,1.2692,0.304041,0.285404,0.182289,1.667901,1.565666,1.6561,0.8822
