Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ADANIGREEN,8.0864,1.37053,7.677576,0.585068,2.342515,13.122542,4.71,11.4628
2,BAYERCROP,2.8811,0.710065,0.856876,0.382223,1.857725,2.241822,3.8028,1.9594
3,COROMANDEL,2.3507,0.435604,0.829322,0.351996,1.237526,2.356056,2.6422,2.0592
4,APLLTD,2.1552,0.591267,0.90095,0.475403,1.243716,1.895128,2.6538,1.6566
5,IPCALAB,2.1282,0.451044,0.761905,0.384228,1.173897,1.98295,2.5231,1.7333
6,GUJENERGY,2.0483,0.398998,0.90335,0.407446,0.979265,2.217104,2.1589,1.9378
7,DRREDDY,1.9652,0.357161,0.559777,0.321224,1.111877,1.742638,2.407,1.5234
8,ESCORTS,1.8768,0.66934,0.889867,0.592469,1.129747,1.501964,2.4405,1.3132
9,AJANTPHARM,1.8596,0.491052,0.496988,0.398939,1.230897,1.245776,2.6298,1.0894
10,ZYDUSLIFE,1.7344,0.419664,0.54499,0.401553,1.045103,1.357208,2.2821,1.1868
11,ABBOTINDIA,1.7052,0.197393,0.857764,0.362848,0.54401,2.363976,1.3443,2.0661
12,BIOCON,1.6299,0.340458,0.570627,0.387263,0.87914,1.473488,1.9715,1.2883
13,MUTHOOTFIN,1.5613,0.46203,0.778589,0.552679,0.835983,1.408754,1.8907,1.2318
14,TORNTPHARM,1.47,0.261341,0.566778,0.376707,0.69375,1.504558,1.6246,1.3155
15,DMART,1.4566,0.192127,0.738423,0.388492,0.494546,1.900741,1.2518,1.6615
16,BALKRISIND,1.4445,0.295889,0.712716,0.459236,0.644307,1.551961,1.532,1.3569
17,SYNGENE,1.3982,0.306316,0.21,0.306491,0.99943,0.685175,2.1966,0.5998
18,SANOFI,1.3783,0.12647,0.480582,0.270246,0.467979,1.778308,1.2021,1.5546
19,AUROPHARMA,1.3613,0.683978,0.294464,0.641825,1.065677,0.458792,2.3206,0.4021
20,DIVISLAB,1.3239,0.200257,0.42109,0.320054,0.625697,1.315684,1.4972,1.1505
