Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,BIOCON,3.1952,0.935718,1.121591,0.300972,3.108989,3.726565,3.2696,3.1208
2,PEL,2.7708,0.875638,1.222692,0.340233,2.573644,3.593695,2.5508,2.9908
3,CHOLAFIN,2.3755,0.65762,0.916777,0.287975,2.283601,3.183531,2.1614,2.5895
4,BAJAJFINSV,2.3431,0.841472,0.718721,0.299709,2.807634,2.398066,2.865,1.8211
5,MUTHOOTFIN,2.3206,1.01502,1.193021,0.416737,2.435636,2.862765,2.3655,2.2757
6,KAJARIACER,2.1769,0.465967,0.798369,0.243227,1.915768,3.282401,1.6675,2.6862
7,RAMCOCEM,2.1021,0.491857,0.877345,0.26957,1.824598,3.254611,1.5451,2.6591
8,BAJFINANCE,2.0407,0.586466,1.153061,0.347563,1.687368,3.317563,1.3608,2.7206
9,BHARATFIN,1.9653,0.699768,1.313543,0.41501,1.68615,3.16509,1.3592,2.5715
10,EDELWEISS,1.9645,1.025824,0.983435,0.436567,2.34975,2.252655,2.2502,1.6789
11,CENTURYTEX,1.7624,0.785065,0.7369,0.358257,2.191346,2.056903,2.0375,1.4874
12,PETRONET,1.7544,0.415864,0.92477,0.296264,1.403694,3.12144,0.9799,2.5288
13,JSWSTEEL,1.712,0.402725,0.867246,0.286205,1.407121,3.030156,0.9845,2.4395
14,BALKRISIND,1.6656,0.638361,0.488621,0.280435,2.276328,1.742371,2.1516,1.1797
15,HINDPETRO,1.5865,0.800773,0.806755,0.405071,1.97687,1.991639,1.7495,1.4235
16,HINDALCO,1.4903,0.809242,0.955186,0.458249,1.765943,2.084425,1.4663,1.5143
17,IGL,1.4636,0.431463,0.612435,0.270489,1.595122,2.26418,1.237,1.6901
18,BERGEPAINT,1.4558,0.530444,0.661227,0.313059,1.694392,2.112152,1.3702,1.5414
19,IOC,1.4044,0.477489,0.50731,0.268352,1.779339,1.890466,1.4843,1.3245
20,CUB,1.4019,0.449259,0.437432,0.243568,1.844496,1.795936,1.5718,1.2321
