Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,NATIONALUM,3.4583,0.864487,1.352387,0.408759,2.114908,3.308522,3.7061,3.2105
2,MCX,3.2689,0.631369,1.541652,0.404271,1.561748,3.813414,2.7903,3.7474
3,FEDERALBNK,2.4835,0.472683,0.472224,0.253392,1.865425,1.863612,3.2931,1.674
4,VEDL,2.4778,0.564909,0.670637,0.325854,1.733627,2.058091,3.0749,1.8808
5,GVT&D,2.4569,0.23381,1.641253,0.425044,0.550083,3.861372,1.1153,3.7984
6,POWERINDIA,2.2819,0.49893,1.224249,0.455948,1.09427,2.685064,2.0163,2.5475
7,TITAN,2.2055,0.285669,0.486399,0.219351,1.302335,2.217445,2.3608,2.0503
8,AUBANK,2.1407,0.298019,0.817324,0.310764,0.958986,2.630044,1.7923,2.489
9,LAURUSLABS,2.0093,0.253702,0.809484,0.310758,0.816398,2.604873,1.5563,2.4623
10,SHRIRAMFIN,1.9869,0.542738,0.562946,0.367239,1.477888,1.532916,2.6515,1.3224
11,CUMMINSIND,1.9191,0.247845,0.630311,0.274175,0.903968,2.298941,1.7013,2.1369
12,BSE,1.9013,0.556033,0.787816,0.450196,1.235093,1.749941,2.2495,1.5531
13,INDIANB,1.8535,0.229649,0.773896,0.315789,0.727223,2.450671,1.4086,2.2983
14,BHARATFORG,1.8338,0.425504,0.514299,0.331862,1.282172,1.54974,2.3274,1.3402
15,HINDALCO,1.5827,0.263087,0.484972,0.291038,0.903962,1.666353,1.7012,1.4642
16,SBIN,1.5498,0.200219,0.348905,0.219351,0.912778,1.590622,1.7158,1.3837
17,APARINDS,1.5391,0.280033,0.963599,0.467833,0.598575,2.059705,1.1956,1.8825
18,ASHOKLEY,1.5021,0.218828,0.629963,0.332181,0.658762,1.896445,1.2953,1.7089
19,UNIONBANK,1.4904,0.341152,0.480125,0.348699,0.978355,1.376903,1.8244,1.1565
20,ABCAPITAL,1.4661,0.100674,0.81791,0.341465,0.294831,2.395298,0.6927,2.2394
