Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,LTM,3.3935,0.8166,1.047685,0.305614,2.671997,3.428127,3.9928,2.7942
2,JUBLFOOD,2.8592,0.691628,1.178649,0.343471,2.013644,3.431582,2.9209,2.7975
3,MINDTREE,2.4553,0.719805,0.725482,0.322692,2.230627,2.24822,3.2742,1.6364
4,TITAN,2.2827,0.59409,1.107601,0.373973,1.588592,2.961716,2.2289,2.3365
5,ADANIENSOL,2.1108,0.447477,2.029734,0.52832,0.84698,3.841861,1.0214,3.2001
6,GILLETTE,2.102,0.206794,0.611388,0.182533,1.132913,3.349466,1.487,2.717
7,HEXAWARE,1.9895,0.53899,0.877038,0.354275,1.52139,2.475588,2.1195,1.8595
8,TV18BRDCST,1.7985,0.791826,0.621965,0.419869,1.88589,1.481333,2.7129,0.884
9,BRITANNIA,1.774,0.180548,0.548459,0.185939,0.971004,2.949665,1.2234,2.3247
10,DMART,1.7646,0.216164,1.200195,0.343234,0.629787,3.496724,0.6678,2.8615
11,3MINDIA,1.7486,0.394796,0.808517,0.324596,1.216271,2.490846,1.6227,1.8745
12,BIOCON,1.6305,0.7373,0.571279,0.420476,1.75349,1.358647,2.4974,0.7636
13,TATACONSUM,1.579,0.353286,0.832286,0.34072,1.036881,2.442726,1.3306,1.8273
14,ASHOKLEY,1.5344,0.304846,0.695478,0.294987,1.03342,2.357653,1.325,1.7438
15,LTTS,1.5317,0.611947,0.59447,0.395859,1.54587,1.50172,2.1593,0.904
16,CHOLAFIN,1.5011,0.37108,0.482618,0.274272,1.352964,1.759632,1.8452,1.1571
17,JINDALSTEL,1.4979,0.628075,0.878914,0.480521,1.307071,1.829086,1.7705,1.2252
18,MPHASIS,1.4887,0.413926,0.404312,0.27421,1.509521,1.474461,2.1001,0.8772
19,MARUTI,1.4813,0.141738,0.500204,0.185511,0.76404,2.696351,0.8864,2.0761
20,HINDUNILVR,1.4316,0.110034,0.501111,0.176988,0.621704,2.831326,0.6546,2.2086
