Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ABBOTINDIA,3.1559,0.551507,0.74046,0.24298,2.269761,3.047405,3.3213,2.9905
2,HDFCAMC,2.9698,0.727146,1.057618,0.352761,2.061301,2.998116,3.0005,2.9391
3,RELAXO,2.7923,0.472294,0.715205,0.247767,1.906205,2.886607,2.7618,2.8228
4,BERGEPAINT,2.6655,0.619452,0.592633,0.276151,2.243167,2.146048,3.2804,2.0507
5,WHIRLPOOL,2.4178,0.576741,0.690475,0.309472,1.863627,2.23114,2.6962,2.1394
6,AAVAS,2.3616,0.27804,1.20787,0.332004,0.837459,3.638113,1.1167,3.6064
7,HDFCLIFE,2.2036,0.441059,0.605799,0.27495,1.604144,2.203306,2.2968,2.1104
8,SBILIFE,2.2026,0.412458,0.676246,0.281243,1.466552,2.404488,2.085,2.3201
9,ISEC,2.0728,0.943319,0.596298,0.460322,2.049259,1.295393,2.982,1.1637
10,MANAPPURAM,1.9048,0.341955,1.021777,0.381809,0.895618,2.676144,1.2063,2.6034
11,PIIND,1.8688,0.220018,0.78281,0.281892,0.780502,2.776983,1.0291,2.7085
12,IGL,1.8384,0.313889,0.62357,0.280804,1.117821,2.220657,1.5483,2.1285
13,BATAINDIA,1.7595,0.220419,0.569205,0.240518,0.916433,2.36658,1.2383,2.2806
14,ASIANPAINT,1.7092,0.310376,0.356627,0.224896,1.380084,1.585738,1.952,1.4664
15,GLAXO,1.5807,0.317268,0.146664,0.182141,1.741876,0.80522,2.5088,0.6526
16,PFIZER,1.5797,0.275811,0.464366,0.258262,1.067952,1.798044,1.4715,1.6878
17,TRENT,1.5762,0.334108,0.544965,0.308248,1.083892,1.767942,1.4961,1.6564
18,ICICIBANK,1.5668,0.275302,0.53271,0.28034,0.982028,1.900228,1.3393,1.7943
19,GUJENERGY,1.5603,0.279966,0.685448,0.329212,0.850412,2.082086,1.1367,1.984
20,NESTLEIND,1.4693,0.264053,0.312745,0.222125,1.188757,1.407968,1.6575,1.2811
