Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ATGL,3.3938,1.313279,1.79105,0.498765,2.633062,3.590971,3.6797,3.1078
2,SCHAEFFLER,3.1506,0.768416,1.247148,0.3388,2.268049,3.681071,3.1068,3.1943
3,ADANIENSOL,2.9732,0.908872,1.841884,0.474067,1.917178,3.885278,2.5561,3.3903
4,TVSMOTOR,2.7246,0.606298,0.993519,0.305274,1.986079,3.254517,2.6642,2.7849
5,ADANIENT,2.5775,0.097153,0.106675,0.042859,2.266804,2.488991,3.1048,2.0502
6,HAL,2.4773,0.75194,0.785903,0.336654,2.233567,2.334451,3.0527,1.9019
7,M&M,2.2996,0.624629,0.679102,0.302761,2.063104,2.243025,2.7851,1.8141
8,CGPOWER,2.206,0.340426,1.709677,0.418007,0.814401,4.090065,0.8251,3.5869
9,ABB,2.1913,0.596557,0.960261,0.359075,1.661373,2.674266,2.1545,2.228
10,ITC,2.1476,0.484459,0.552297,0.253687,1.909675,2.177084,2.5443,1.7508
11,BEL,2.1266,0.597802,0.763927,0.331324,1.804284,2.305684,2.3789,1.8743
12,VBL,2.0506,0.677001,0.839934,0.381925,1.772601,2.199213,2.3291,1.7721
13,INDHOTEL,1.8603,0.472028,1.207902,0.421105,1.120927,2.868412,1.3063,2.4144
14,AIAENG,1.6952,0.601177,0.353886,0.306838,1.959265,1.153332,2.6221,0.7683
15,SKFINDIA,1.6467,0.44974,0.734567,0.345375,1.302177,2.126867,1.5908,1.7027
16,BLUEDART,1.5528,0.423899,0.532098,0.301756,1.404772,1.763335,1.7518,1.3537
17,SOLARINDS,1.5191,0.421108,0.955961,0.41214,1.021759,2.319506,1.1506,1.8875
18,TTML,1.4794,0.138839,2.587904,0.720329,0.192744,3.592671,-0.1506,3.1095
19,GRINDWELL,1.4688,0.378637,0.771298,0.357844,1.058105,2.155401,1.2077,1.73
20,COROMANDEL,1.3645,0.425944,0.408765,0.301327,1.413562,1.356551,1.7656,0.9633
