Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,SHREECEM,3.2275,2.44198,0.609528,0.527781,4.626881,1.154887,3.8794,2.5757
2,AUROPHARMA,2.8979,3.257555,0.558809,0.696895,4.674385,0.801855,3.9346,1.8612
3,BAJAJ-AUTO,2.8615,2.249155,0.737862,0.588245,3.823497,1.254343,2.946,2.7769
4,HEROMOTOCO,2.3901,0.886327,0.79219,0.43607,2.032534,1.816659,0.8653,3.9149
5,RECLTD,2.1619,1.789007,0.510322,0.55743,3.209383,0.91549,2.2325,2.0912
6,BAJAJHIND,2.0109,3.77896,0.091817,0.866795,4.359694,0.105928,3.569,0.4528
7,BAJAJFINSV,1.8015,3.472995,-0.363432,0.678803,5.116351,-0.535401,4.4481,-0.8451
8,LICHSGFIN,1.7749,1.589459,0.842292,0.738678,2.151762,1.140269,1.0038,2.5461
9,JPPOWER,1.7354,2.137184,0.51262,0.744496,2.870647,0.688546,1.839,1.6319
10,PFIZER,1.6146,0.698754,0.337115,0.332983,2.098469,1.01241,0.9419,2.2873
11,ENGINERSIN,1.5424,1.369222,0.682873,0.68456,2.000147,0.997535,0.8276,2.2572
12,MARUTI,1.3504,1.174951,0.347707,0.522607,2.248252,0.665333,1.1159,1.5849
13,COLPAL,1.3071,0.37159,0.376839,0.308464,1.204645,1.221662,-0.0966,2.7108
14,M&M,1.2954,1.954868,0.266301,0.730192,2.677199,0.3647,1.6143,0.9765
15,ULTRACEMCO,1.294,1.5525,0.116893,0.530532,2.926305,0.220332,1.9037,0.6843
16,BANKBARODA,1.1301,0.698573,0.660725,0.610802,1.143699,1.081734,-0.1674,2.4276
17,BALRAMCHIN,1.1239,1.882353,0.181765,0.728772,2.582911,0.249412,1.5047,0.7432
18,JINDALSTEL,1.1166,2.077944,0.117055,0.759407,2.736272,0.15414,1.6829,0.5504
19,MFSL,1.0897,1.343337,0.351819,0.661239,2.031544,0.53206,0.8641,1.3152
20,GRASIM,1.0468,1.488792,0.04711,0.544575,2.73386,0.086507,1.6801,0.4135
