Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,RAJESHEXPO,3.466,0.27188,1.971066,0.515383,0.527531,3.824472,1.1472,5.7849
2,BAJFINANCE,2.9516,0.408163,0.746835,0.34146,1.195347,2.187182,2.5158,3.3874
3,PETRONET,2.5723,0.424575,0.402726,0.298308,1.423277,1.350037,2.983,2.1616
4,NHPC,2.4851,0.457576,0.233333,0.271102,1.687835,0.860684,3.5251,1.445
5,VAKRANGEE,2.1879,0.555078,0.857676,0.580234,0.956645,1.478154,2.0266,2.3492
6,JSWSTEEL,2.1727,0.434341,0.387756,0.356063,1.219843,1.089011,2.566,1.7794
7,RELINFRA,2.0081,0.647843,0.301874,0.470005,1.378375,0.642277,2.8909,1.1252
8,ASHOKLEY,1.9759,0.210209,0.635757,0.367935,0.57132,1.727905,1.2369,2.7149
9,RAMCOCEM,1.8865,0.252038,0.35321,0.293488,0.858766,1.203491,1.826,1.947
10,TVSMOTOR,1.7162,0.375503,0.251157,0.357463,1.050468,0.702609,2.2189,1.2136
11,IGL,1.7105,0.197662,0.371046,0.29917,0.660701,1.240251,1.4201,2.0008
12,MARICO,1.6862,0.224077,0.326936,0.300481,0.745727,1.088042,1.5944,1.778
13,RELIANCE,1.5569,0.235279,0.224236,0.283099,0.831084,0.792076,1.7693,1.3446
14,CHOLAFIN,1.5349,0.166043,0.322231,0.288089,0.57636,1.118511,1.2473,1.8226
15,BHARATFIN,1.4823,0.391825,0.291962,0.453432,0.864132,0.643895,1.837,1.1276
16,GLAXO,1.4727,0.13037,0.160558,0.1864,0.699413,0.861367,1.4994,1.446
17,KAJARIACER,1.4638,0.20822,0.225999,0.283048,0.735635,0.798449,1.5737,1.3539
18,HEROMOTOCO,1.4558,0.239052,0.136878,0.259454,0.921364,0.527559,1.9543,0.9572
19,KANSAINER,1.3903,0.172984,0.291059,0.308613,0.560521,0.943118,1.2148,1.5657
20,TORNTPOWER,1.3601,0.259912,0.414966,0.461787,0.56284,0.89861,1.2195,1.5006
