Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JSWENERGY,5.1884,2.821877,5.162621,0.508239,5.552261,10.157859,5.8457,4.5311
2,MINDTREE,2.6981,1.231227,2.1823,0.360015,3.419929,6.061684,3.2161,2.1801
3,TATAPOWER,2.5914,1.355438,3.196597,0.468547,2.892851,6.822356,2.5661,2.6167
4,IRCTC,2.5557,1.762948,2.476909,0.485134,3.63394,5.105617,3.48,1.6314
5,ADANIENSOL,2.4217,0.721709,5.27907,0.548736,1.315221,9.620415,0.6206,4.2227
6,TATAELXSI,2.3378,0.979036,3.120001,0.429778,2.278002,7.259558,1.8079,2.8676
7,PERSISTENT,2.2451,1.066612,1.985734,0.361538,2.950204,5.492459,2.6369,1.8534
8,BAJAJFINSV,2.1771,0.893488,2.162908,0.352127,2.537403,6.142406,2.1278,2.2264
9,ATGL,2.124,0.229027,6.880132,0.64618,0.354432,10.647388,-0.5642,4.8121
10,SRF,1.7505,0.81512,1.547912,0.326411,2.49722,4.74222,2.0783,1.4228
11,MPHASIS,1.6531,0.981251,1.321221,0.351088,2.794885,3.763218,2.4453,0.8609
12,POLYCAB,1.4985,0.577865,1.816119,0.331295,1.74426,5.48188,1.1497,1.8473
13,OIL,1.4419,0.80172,1.421387,0.348079,2.303274,4.083524,1.8391,1.0447
14,VEDL,1.2595,0.475949,3.140625,0.495828,0.959908,6.334098,0.1825,2.3365
15,DEEPAKNTR,1.2588,0.524726,2.355614,0.414931,1.264608,5.677118,0.5582,1.9594
16,TMPV,1.2501,0.666667,2.843093,0.511189,1.30415,5.561729,0.607,1.8932
17,DMART,1.2147,0.663766,1.286216,0.329144,2.01664,3.907757,1.4856,0.9438
18,TITAN,1.2014,0.628794,0.987475,0.285385,2.203319,3.46015,1.7158,0.6869
19,BAJFINANCE,1.192,0.643923,1.386997,0.339462,1.896894,4.08587,1.3379,1.0461
20,INDHOTEL,1.1351,1.058853,1.191113,0.43527,2.432636,2.736495,1.9986,0.2716
