Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,VOLTAS,3.0098,1.526039,3.139355,0.467774,3.262341,6.711263,2.9611,3.0584
2,SIEMENS,2.699,1.112985,1.986561,0.344789,3.228014,5.761667,2.9204,2.4775
3,BEML,2.6514,1.085186,3.836037,0.500666,2.167485,7.661868,1.6629,3.64
4,HCC,2.5361,0.9541,3.211098,0.440568,2.165614,7.288542,1.6606,3.4116
5,BHEL,2.262,0.934193,1.442654,0.307211,3.040888,4.695979,2.6985,1.8256
6,LT,1.8769,0.864493,1.285074,0.317295,2.724571,4.050092,2.3234,1.4304
7,M&M,1.8735,0.675,1.304451,0.280343,2.407761,4.653044,1.9478,1.7993
8,INDHOTEL,1.8189,0.694885,1.197595,0.278351,2.496437,4.302464,2.0529,1.5848
9,ABB,1.6263,0.698856,1.139083,0.292974,2.385383,3.887997,1.9212,1.3313
10,MARUTI,1.621,0.907846,0.909455,0.314226,2.889148,2.894268,2.5186,0.7234
11,GFLLIMITED,1.5817,0.130212,4.213018,0.533765,0.243949,7.893015,-0.618,3.7814
12,PATELENG,1.4902,0.520817,1.0552,0.255955,2.034798,4.122601,1.5055,1.4748
13,EIHOTEL,1.4224,0.598567,1.244686,0.306541,1.952648,4.060419,1.4081,1.4368
14,ASIANPAINT,1.4099,0.443056,0.899452,0.225287,1.966627,3.992469,1.4247,1.3952
15,SHREECEM,1.4019,0.799741,1.442258,0.384714,2.078791,3.748908,1.5577,1.2462
16,THERMAX,1.3988,0.753856,1.234858,0.347069,2.172065,3.557963,1.6683,1.1294
17,PIDILITIND,1.3941,0.592453,1.295141,0.315182,1.879714,4.10918,1.3216,1.4666
18,ITC,1.3592,0.544041,1.058001,0.276561,1.967161,3.825559,1.4253,1.2931
19,GSKCONS,1.3199,0.46627,0.916318,0.242353,1.923933,3.780927,1.3741,1.2658
20,TMPV,1.302,0.827586,0.837903,0.327722,2.525271,2.556752,2.0871,0.5169
