Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,SHREECEM,2.5662,0.618881,1.391028,0.466111,1.327756,2.984328,2.8313,2.3011
2,VOLTAS,2.4476,0.310025,2.266762,0.537099,0.577222,4.220377,1.3675,3.5278
3,ABAN,2.3365,0.832592,1.192815,0.551393,1.509979,2.163275,3.1867,1.4863
4,ULTRACEMCO,2.3236,0.573336,1.120942,0.440317,1.3021,2.545763,2.7812,1.8659
5,OPTOCIRCUI,2.312,0.446647,1.959858,0.55844,0.799812,3.509526,1.8016,2.8223
6,ACC,2.04,0.370528,0.985662,0.378066,0.980062,2.607113,2.1532,1.9268
7,GODREJCP,1.8933,0.253555,1.001236,0.353861,0.71654,2.829464,1.6392,2.1474
8,BHEL,1.8116,0.289826,1.063574,0.400979,0.722796,2.652443,1.6514,1.9718
9,RAMCOCEM,1.7669,0.425176,1.090793,0.483658,0.879083,2.255297,1.9562,1.5776
10,IVRCLINFRA,1.7279,0.493538,1.170118,0.548125,0.900412,2.134766,1.9978,1.458
11,THERMAX,1.6948,0.378092,1.073959,0.473482,0.798534,2.268213,1.7991,1.5905
12,DRREDDY,1.6465,0.324201,0.815021,0.388252,0.835027,2.099206,1.8703,1.4227
13,VEDL,1.6157,0.162455,4.03125,1.182797,0.137348,3.408234,0.5096,2.7218
14,GODREJIND,1.603,0.421158,1.412752,0.613388,0.68661,2.303197,1.5808,1.6252
15,BAJAJHIND,1.5588,0.187602,1.912555,0.640177,0.293048,2.987543,0.8133,2.3043
16,CIPLA,1.525,0.225054,0.886304,0.380098,0.592096,2.33178,1.3965,1.6535
17,DABUR,1.5183,0.313636,1.054502,0.479895,0.653552,2.19736,1.5164,1.5202
18,M&M,1.5055,0.125964,1.010593,0.364046,0.346011,2.776005,0.9166,2.0944
19,ITC,1.4184,0.238648,0.718933,0.362124,0.659023,1.98532,1.527,1.3097
20,ADANIENT,1.4161,0.002144,0.002019,0.001902,1.126935,1.061232,2.4396,0.3927
