Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,TITAN,2.6923,0.516963,0.50135,0.268627,1.924465,1.866343,3.1975,2.1871
2,SRF,2.495,0.542652,0.645654,0.331077,1.639054,1.950166,2.7057,2.2842
3,BATAINDIA,2.3597,0.304283,0.753379,0.290272,1.048268,2.595421,1.6878,3.0315
4,PIIND,2.3137,0.388097,0.512473,0.267412,1.451306,1.916418,2.3823,2.2451
5,AXISBANK,2.1452,0.314715,0.563322,0.272562,1.154658,2.066768,1.8711,2.4192
6,BAJFINANCE,2.0997,0.434698,0.642857,0.347958,1.249284,1.847516,2.0342,2.1653
7,NAUKRI,2.0602,0.442793,0.888282,0.425272,1.041198,2.088736,1.6757,2.4447
8,BAJAJFINSV,1.8825,0.358629,0.441631,0.292766,1.224969,1.508478,1.9923,1.7727
9,ATUL,1.8482,0.179285,0.48007,0.22826,0.785441,2.103167,1.235,2.4614
10,ICICIGI,1.7704,0.326438,0.550376,0.330223,0.988539,1.666682,1.5849,1.9559
11,MANAPPURAM,1.7553,0.550196,0.360236,0.378864,1.452225,0.950831,2.3838,1.1268
12,SHREECEM,1.6911,0.302377,0.387324,0.279026,1.083687,1.388129,1.7489,1.6333
13,MUTHOOTFIN,1.6728,0.304339,0.665935,0.376825,0.807641,1.767227,1.2733,2.0723
14,HDFCBANK,1.652,0.174513,0.207685,0.159338,1.095238,1.303424,1.7688,1.5352
15,ICICIBANK,1.6314,0.239121,0.492828,0.292876,0.816458,1.682716,1.2884,1.9745
16,RECLTD,1.5322,0.448791,0.494107,0.426177,1.053062,1.159393,1.6961,1.3684
17,TRENT,1.5109,0.269286,0.384893,0.292106,0.921877,1.317647,1.4701,1.5516
18,WIPRO,1.4971,0.142309,0.403665,0.230878,0.616384,1.748394,0.9437,2.0505
19,SIEMENS,1.4921,0.316749,0.315692,0.296203,1.069363,1.065795,1.7242,1.26
20,PFC,1.4897,0.335323,0.678549,0.44386,0.755471,1.528745,1.1834,1.7961
