Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,HDFCAMC,3.6476,0.885359,0.752829,0.327073,2.706919,2.301718,4.4507,2.8445
2,HDFCLIFE,2.6641,0.603911,0.410098,0.287082,2.10362,1.428505,3.486,1.8422
3,PIIND,2.5574,0.300421,0.709526,0.27031,1.111396,2.624865,1.8994,3.2154
4,BATAINDIA,2.5167,0.288217,0.759378,0.282985,1.018485,2.683453,1.7508,3.2827
5,INDIGO,2.2655,0.297642,1.083249,0.408762,0.728154,2.65007,1.2866,3.2444
6,BERGEPAINT,2.1538,0.404326,0.448089,0.291468,1.387205,1.537351,2.3404,1.9671
7,SIEMENS,2.1436,0.438492,0.536398,0.332339,1.319412,1.614008,2.232,2.0551
8,COLPAL,1.8505,0.222433,0.375401,0.232969,0.954775,1.611374,1.6489,2.0521
9,TRENT,1.8261,0.371539,0.382202,0.310383,1.197031,1.231386,2.0363,1.616
10,BAJFINANCE,1.7865,0.429577,0.520599,0.395423,1.086375,1.316563,1.8594,1.7137
11,SBILIFE,1.7556,0.368806,0.310978,0.297096,1.241369,1.046726,2.1072,1.404
12,HONAUT,1.7175,0.308064,0.29834,0.268491,1.14739,1.111173,1.9569,1.478
13,TITAN,1.6803,0.164618,0.559354,0.298202,0.552036,1.875753,1.0049,2.3556
14,TATACONSUM,1.6342,0.440358,0.191674,0.31395,1.402635,0.610523,2.3651,0.9033
15,ADANIPOWER,1.6292,0.390041,1.193126,0.679444,0.574059,1.756032,1.0402,2.2182
16,ASIANPAINT,1.6119,0.207341,0.357353,0.255852,0.810394,1.396719,1.4181,1.8057
17,HINDUNILVR,1.5925,0.198355,0.252546,0.212237,0.934591,1.189923,1.6167,1.5684
18,RELAXO,1.5687,0.321592,0.172247,0.253118,1.270521,0.6805,2.1538,0.9836
19,KOTAKBANK,1.5658,0.229935,0.335744,0.268297,0.857016,1.251393,1.4926,1.6389
20,PIDILITIND,1.5514,0.246245,0.33105,0.278516,0.884132,1.188622,1.536,1.5669
