Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,BHARATFORG,3.2089,1.212874,2.297229,0.330551,3.669253,6.949705,3.0055,3.4123
2,SUNDARMFIN,3.0415,1.000728,1.438344,0.248255,4.031044,5.79381,3.454,2.6289
3,AUROPHARMA,2.8383,0.692569,3.764835,0.40037,1.729823,9.403391,0.6013,5.0752
4,EICHERMOT,2.6768,1.088327,2.23135,0.349186,3.116752,6.390143,2.3206,3.0331
5,GFLLIMITED,2.6127,1.482318,1.72243,0.372528,3.979074,4.623621,3.3896,1.8359
6,ARVIND,2.3652,1.212736,2.821148,0.451102,2.688386,6.253903,1.7896,2.9407
7,SHREECEM,2.1424,0.682918,1.209336,0.233834,2.920518,5.17176,2.0774,2.2073
8,ZFCVINDIA,1.8312,0.895431,1.296291,0.305781,2.928339,4.239273,2.0871,1.5754
9,MARUTI,1.7197,0.773074,1.33356,0.296507,2.607268,4.497565,1.689,1.7504
10,ASHOKLEY,1.689,1.272206,1.915441,0.462349,2.751617,4.14285,1.868,1.51
11,IRB,1.6344,1.469512,2.131443,0.534613,2.748739,3.986889,1.8644,1.4043
12,AIAENG,1.6032,0.672799,1.926418,0.353825,1.901499,5.444544,0.8141,2.3922
13,3MINDIA,1.5898,0.782883,1.062976,0.280867,2.787379,3.784625,1.9123,1.2673
14,MOTHERSON,1.5707,0.826872,1.899324,0.386521,2.139267,4.913892,1.1089,2.0326
15,SBBJ,1.5627,1.24322,0.923237,0.363198,3.422983,2.541969,2.7002,0.4251
16,HINDPETRO,1.5166,1.342995,5.928571,0.967452,1.388177,6.128026,0.1778,2.8554
17,ESSAROIL,1.5015,1.337877,1.034746,0.403819,3.313062,2.5624,2.564,0.4389
18,JSWDULUX,1.4215,0.768516,0.756787,0.257855,2.980419,2.934932,2.1516,0.6914
19,MRF,1.4048,0.515915,1.462441,0.2886,1.787648,5.067362,0.673,2.1366
20,CHOLAFIN,1.2774,0.950715,1.335802,0.386225,2.461557,3.45861,1.5084,1.0463
