Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,LTM,3.0555,0.619308,0.884935,0.23899,2.591351,3.702806,3.6539,2.4571
2,JINDALSTEL,2.7595,0.826531,2.244375,0.485121,1.703762,4.626424,2.2318,3.2873
3,TATACONSUM,2.3389,0.638764,1.119519,0.335659,1.903015,3.335288,2.551,2.1267
4,GODREJPROP,2.2116,0.561912,1.361409,0.366689,1.532396,3.712712,1.9572,2.466
5,JUBLFOOD,2.1608,0.561484,1.236318,0.35335,1.58903,3.498848,2.0479,2.2737
6,ADANIENSOL,1.9857,0.562701,2.073518,0.517803,1.086709,4.004456,1.2431,2.7282
7,LTTS,1.8485,0.748838,0.549779,0.334365,2.239586,1.644251,3.0903,0.6066
8,HEXAWARE,1.783,0.50426,0.905937,0.328705,1.534079,2.756078,1.9599,1.6061
9,MINDTREE,1.6559,0.5132,0.564928,0.284137,1.806173,1.988224,2.3959,0.9158
10,MPHASIS,1.6248,0.423963,0.531158,0.250429,1.692949,2.120996,2.2144,1.0352
11,TECHM,1.597,0.545008,0.391088,0.268396,2.030614,1.457133,2.7555,0.4384
12,TITAN,1.5948,0.437685,1.215992,0.393577,1.11207,3.089595,1.2837,1.9059
13,GILLETTE,1.5625,0.214509,0.515091,0.179487,1.195125,2.869802,1.4168,1.7083
14,BALKRISIND,1.5573,0.341948,0.906935,0.304,1.124829,2.983335,1.3042,1.8103
15,HINDUNILVR,1.5088,0.15886,0.584931,0.177869,0.893129,3.288554,0.9329,2.0847
16,ENDURANCE,1.4565,0.267035,0.880875,0.284807,0.937603,3.092888,1.0042,1.9088
17,FINCABLES,1.4513,0.419531,0.533848,0.269675,1.55569,1.979596,1.9945,0.9081
18,3MINDIA,1.4142,0.419719,0.584202,0.28529,1.471201,2.047747,1.8591,0.9693
19,PCJEWELLER,1.4065,0.668439,1.228534,0.520096,1.285221,2.362128,1.5612,1.2519
20,RAJESHEXPO,1.3978,0.120348,0.640442,0.184519,0.652227,3.470875,0.5469,2.2486
