Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JAICORPLTD,4.7245,0.551217,6.174148,0.642677,0.85769,9.606924,1.6774,7.7717
2,ESSAROIL,4.0819,3.289272,3.165581,1.021843,3.21896,3.097913,6.0093,2.1544
3,JINDALSTEL,3.2634,1.219549,3.801903,0.794917,1.534185,4.78277,2.9185,3.6084
4,RNRL,2.8103,1.13399,3.933941,0.907146,1.250064,4.336613,2.3972,3.2234
5,GOLDTECH,2.5628,0.594683,2.032548,0.513471,1.158162,3.958446,2.2286,2.897
6,VEDL,1.9125,0.730769,1.5,0.621459,1.175893,2.413676,2.2611,1.5639
7,EDUCOMP,1.7688,0.258517,2.934241,0.760581,0.339895,3.857894,0.7274,2.8103
8,NATIONALUM,1.7344,0.739303,0.979618,0.566859,1.30421,1.728152,2.4965,0.9723
9,RELINFRA,1.5352,0.472933,1.813933,0.698014,0.677541,2.598705,1.3469,1.7236
10,TATAPOWER,1.5164,0.553748,1.260273,0.610047,0.907714,2.065861,1.7691,1.2637
11,CAIRN,1.4281,0.418634,0.808393,0.448016,0.934417,1.804385,1.8181,1.0381
12,GODREJIND,1.293,0.580581,0.776086,0.57805,1.00438,1.342594,1.9465,0.6395
13,JSWSTEEL,1.206,0.366584,1.046805,0.557386,0.657683,1.87806,1.3104,1.1017
14,AXISBANK,1.1853,0.323615,0.833262,0.471248,0.68672,1.768205,1.3637,1.0068
15,ABAN,1.1299,0.197239,1.048196,0.473413,0.416632,2.214127,0.8682,1.3917
16,INGVYSYABK,1.1133,0.229335,0.877475,0.445913,0.514306,1.967818,1.0474,1.1791
17,MRPL,1.1069,0.563599,1.223529,0.79494,0.708983,1.539147,1.4045,0.8092
18,HUBTOWN,1.0925,0.365391,1.076248,0.614972,0.594158,1.750075,1.1939,0.9912
19,ASIANPAINT,1.0683,0.200842,0.649986,0.364206,0.551452,1.784666,1.1155,1.0211
20,ENGINERSIN,1.0605,0.529707,0.544552,0.568459,0.931831,0.957945,1.8134,0.3076
