Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,INDIANB,3.4787,1.908353,0.971687,0.535505,3.563648,1.814523,5.0453,1.912
2,CUB,2.5029,0.451378,0.604945,0.250903,1.799012,2.411069,2.3939,2.6118
3,JSWSTEEL,2.4188,0.320535,0.898616,0.286346,1.119396,3.138215,1.3728,3.4648
4,HINDALCO,2.4187,0.796039,1.049481,0.452572,1.758921,2.318925,2.3337,2.5037
5,IGL,2.3667,0.451499,0.700413,0.285222,1.582975,2.455679,2.0693,2.6641
6,BIOCON,2.3084,0.375499,0.912238,0.317804,1.181541,2.870439,1.4662,3.1507
7,VEDL,2.3073,1.414667,1.45393,0.745317,1.898073,1.950753,2.5428,2.0718
8,HINDPETRO,2.2963,0.712649,0.851912,0.404451,1.762016,2.10634,2.3384,2.2543
9,VAKRANGEE,2.0743,0.368492,1.093186,0.392809,0.938095,2.782997,1.1004,3.0481
10,MUTHOOTFIN,1.8189,0.585156,0.740891,0.419912,1.393522,1.764397,1.7847,1.8532
11,CAIRN,1.7871,0.707709,0.526453,0.409988,1.726172,1.284071,2.2845,1.2897
12,BPCL,1.7765,0.428463,0.504396,0.30291,1.414492,1.665172,1.8162,1.7368
13,POWERGRID,1.7634,0.285268,0.40968,0.224362,1.27146,1.825976,1.6013,1.9254
14,PETRONET,1.7511,0.271285,0.754318,0.32089,0.845415,2.350706,0.9612,2.541
15,BAJAJFINSV,1.7407,0.493806,0.447026,0.316023,1.562563,1.414534,2.0387,1.4428
16,SYNGENE,1.6407,0.421489,0.523897,0.327779,1.285892,1.598322,1.623,1.6584
17,BALKRISIND,1.6093,0.446928,0.427335,0.313235,1.426814,1.364262,1.8347,1.3838
18,MRF,1.6038,0.504871,0.284175,0.292484,1.726148,0.971589,2.2845,0.9232
19,PNB,1.6025,0.94959,0.180015,0.439049,2.162835,0.410012,2.9406,0.2644
20,IOC,1.4819,0.378014,0.393806,0.295156,1.280725,1.334232,1.6152,1.3486
