Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ABBOTINDIA,3.88,0.348028,0.799235,0.303113,1.148179,2.636754,3.3025,4.4575
2,GUJENERGY,3.0778,0.313681,0.626506,0.347995,0.901393,1.800329,2.8366,3.3189
3,IPCALAB,2.8547,0.33976,0.429626,0.33085,1.026931,1.298553,3.0736,2.6358
4,RELAXO,2.7731,0.160916,0.499436,0.277629,0.579607,1.798932,2.2292,3.317
5,BHARTIARTL,2.3519,0.308603,0.332367,0.383227,0.805274,0.867284,2.6552,2.0487
6,ALKEM,2.3044,0.171013,0.244486,0.251627,0.67963,0.971621,2.418,2.1907
7,COROMANDEL,2.3043,0.304829,0.090389,0.268068,1.137134,0.337187,3.2816,1.327
8,PFIZER,2.2873,0.20747,0.247434,0.283292,0.732354,0.873422,2.5175,2.057
9,BERGEPAINT,2.0034,0.106835,0.312916,0.313247,0.341055,0.998943,1.7789,2.2279
10,PIDILITIND,1.9821,0.06368,0.285638,0.259568,0.245329,1.100437,1.5982,2.3661
11,ISEC,1.9344,0.292469,0.292469,0.509334,0.574218,0.574218,2.219,1.6497
12,DMART,1.8878,0.143242,0.258205,0.350881,0.408236,0.735876,1.9057,1.8698
13,NESTLEIND,1.878,0.027894,0.274707,0.243393,0.114606,1.128653,1.3514,2.4045
14,AJANTPHARM,1.8361,0.123241,0.243622,0.338099,0.364512,0.720565,1.8232,1.849
15,TRENT,1.8328,0.048775,0.405672,0.387556,0.125853,1.046743,1.3727,2.293
16,DIVISLAB,1.775,0.137494,0.135699,0.287194,0.478749,0.472498,2.0388,1.5113
17,WHIRLPOOL,1.7591,0.124939,0.197864,0.33347,0.374665,0.593349,1.8423,1.6758
18,LALPATHLAB,1.7348,0.045875,0.327784,0.363328,0.126262,0.902171,1.3734,2.0962
19,SANOFI,1.6844,0.067275,0.132229,0.224813,0.299249,0.588172,1.7,1.6687
20,ASIANPAINT,1.6346,0.052521,0.158317,0.248554,0.211306,0.636954,1.534,1.7351
