Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,RNRL,3.5389,3.114286,2.883817,0.600789,5.183659,4.80005,4.6542,2.4235
2,GOLDTECH,3.4217,1.254412,6.459854,0.660928,1.897955,9.773913,1.1417,5.7016
3,JINDALSTEL,3.3484,1.44165,2.520046,0.384668,3.747775,6.551221,3.1192,3.5776
4,GMRAIRPORT,2.3476,1.237673,2.848198,0.506172,2.445165,5.626941,1.7267,2.9685
5,RELCAPITAL,2.3273,1.351222,1.908085,0.43013,3.141428,4.436066,2.471,2.1836
6,RELINFRA,2.2871,1.254302,1.337143,0.358326,3.500448,3.731639,2.8548,1.7194
7,THERMAX,2.0678,0.975814,1.580802,0.361804,2.697078,4.36922,1.996,2.1396
8,RELIANCE,2.0108,0.711802,1.106982,0.263856,2.697693,4.195402,1.9967,2.025
9,RELIANCE,2.0108,0.711802,1.106982,0.263856,2.697693,4.195402,1.9967,2.025
10,KOTAKBANK,1.9372,0.929779,1.833864,0.400347,2.322435,4.580691,1.5955,2.2789
11,OPTOCIRCUI,1.8587,0.945605,1.539615,0.378989,2.495075,4.062429,1.7801,1.9374
12,ABB,1.7544,0.814232,1.280081,0.333742,2.439704,3.835536,1.7209,1.7878
13,UCOBANK,1.7413,1.087248,1.130137,0.373226,2.913108,3.028021,2.227,1.2556
14,DIVISLAB,1.7149,0.98855,1.828802,0.447306,2.210007,4.088478,1.4753,1.9545
15,LT,1.6368,0.783692,1.153101,0.32602,2.403811,3.536898,1.6825,1.591
16,JPPOWER,1.6108,1.227826,1.103448,0.420691,2.918594,2.622943,2.2328,0.9887
17,ADANIENT,1.4368,0.009541,0.012252,0.00406,2.349892,3.017607,1.6249,1.2488
18,GVPIL,1.4303,0.943229,1.787757,0.487229,1.935905,3.669235,1.1823,1.6782
19,SAIL,1.3899,0.765938,1.70745,0.441144,1.736256,3.870508,0.9689,1.8109
20,ABAN,1.3851,0.811865,1.723484,0.455667,1.781704,3.782329,1.0175,1.7528
