Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JSWENERGY,3.7653,2.001333,2.921603,0.504784,3.964734,5.78783,4.7522,2.7785
2,ATGL,3.4831,1.266499,5.998757,0.661024,1.915965,9.074947,1.9949,4.9714
3,MINDTREE,3.1624,1.075534,2.009025,0.348857,3.083024,5.758879,3.5656,2.7592
4,TATAELXSI,2.8373,0.623374,3.545525,0.43649,1.428151,8.122809,1.3384,4.3362
5,PERSISTENT,2.4449,0.848525,2.213757,0.399449,2.124237,5.542022,2.2752,2.6145
6,TATASTEEL,2.4086,0.943149,2.196447,0.421775,2.236141,5.207622,2.4258,2.3915
7,ADANIENSOL,2.2749,0.544889,4.045338,0.552118,0.986906,7.326941,0.7445,3.8053
8,LAURUSLABS,1.9316,0.711028,2.053241,0.420767,1.689838,4.87976,1.6906,2.1727
9,DEEPAKNTR,1.8765,0.614304,2.392115,0.447026,1.3742,5.35117,1.2658,2.4872
10,JSWSTEEL,1.77,0.678401,1.537834,0.372423,1.821588,4.129271,1.8679,1.6721
11,MPHASIS,1.6568,0.702839,1.360366,0.372178,1.888449,3.655147,1.9579,1.3558
12,SRF,1.6257,0.550038,1.165705,0.308662,1.782007,3.776638,1.8146,1.4368
13,APOLLOHOSP,1.6213,0.480993,1.782944,0.374167,1.285503,4.765101,1.1464,2.0962
14,COFORGE,1.5993,0.902271,1.479667,0.452501,1.993964,3.269974,2.0999,1.0988
15,FORTIS,1.5527,0.720959,1.067183,0.35254,2.045039,3.027124,2.1686,0.9368
16,WIPRO,1.4799,0.436768,1.224278,0.303615,1.43856,4.032342,1.3524,1.6074
17,TATACHEM,1.4524,0.408686,1.814961,0.385198,1.060976,4.71176,0.8442,2.0607
18,GUJENERGY,1.4237,0.580627,1.274346,0.361476,1.606266,3.525395,1.5781,1.2692
19,INFY,1.4183,0.34745,0.815927,0.224733,1.546058,3.630648,1.4971,1.3394
20,BAJAJFINSV,1.3848,0.459945,1.436059,0.355514,1.293745,4.039385,1.1575,1.6121
