Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,MOTILALOFS,3.2562,1.106452,2.555354,0.445913,2.481317,5.730611,2.2944,4.2179
2,VAKRANGEE,3.1774,0.54385,1.467287,0.246462,2.206626,5.953394,1.9431,4.4116
3,IIFL,2.73,1.209447,1.835305,0.442391,2.733889,4.148608,2.6174,2.8426
4,HDFCBANK,2.3674,0.422585,0.434744,0.143998,2.934658,3.019096,2.8741,1.8607
5,DHFL,2.0794,0.863954,1.178846,0.367087,2.353539,3.21135,2.131,2.0278
6,PEL,1.8991,0.817508,1.080322,0.364753,2.241264,2.961788,1.9874,1.8109
7,RAJESHEXPO,1.8589,0.546564,0.529444,0.216251,2.527449,2.448284,2.3534,1.3645
8,MRF,1.7956,0.431493,1.232071,0.310071,1.391592,3.973506,0.9009,2.6904
9,FEDERALBNK,1.7129,0.717164,0.992208,0.351134,2.042426,2.825728,1.7331,1.6926
10,MARUTI,1.7116,0.405092,0.754563,0.231748,1.747986,3.25597,1.3566,2.0666
11,BALKRISIND,1.6968,0.559118,1.513664,0.403261,1.386491,3.753557,0.8943,2.4992
12,TVSMOTOR,1.6774,0.445298,0.828674,0.258103,1.725275,3.210638,1.3276,2.0272
13,KARURVYSYA,1.6595,0.696589,0.490223,0.26543,2.624375,1.846898,2.4773,0.8417
14,EDELWEISS,1.6126,0.995293,1.336191,0.500103,1.990174,2.671829,1.6663,1.5588
15,GODREJIND,1.5467,0.515821,0.781042,0.282653,1.824927,2.763252,1.455,1.6383
16,NATCOPHARM,1.5431,0.63283,0.911817,0.338763,1.868061,2.691609,1.5102,1.576
17,LTF,1.5225,0.706991,0.84252,0.349118,2.025077,2.41328,1.7109,1.3341
18,BAJAJFINSV,1.5204,0.5419,0.99465,0.332594,1.629312,2.99058,1.2049,1.8359
19,GODREJPROP,1.4952,0.811173,0.578278,0.332401,2.440343,1.739696,2.242,0.7485
20,IBULHSGFIN,1.4636,0.716244,0.584813,0.311685,2.297969,1.876294,2.0599,0.8672
