Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ADANIGREEN,7.4682,1.887977,5.32074,0.526159,3.588222,10.11241,4.7049,10.2316
2,ADANIENT,3.4247,0.036131,0.03608,0.011375,3.176343,3.171863,4.0572,2.7922
3,ATGL,3.1293,1.839614,1.958904,0.639747,2.875535,3.062,3.5842,2.6745
4,ADANIENSOL,2.7224,1.557451,1.438579,0.570974,2.727711,2.519519,3.3517,2.093
5,TMPV,2.0144,1.549143,1.050092,0.638977,2.42441,1.643395,2.8748,1.1539
6,HAVELLS,1.8312,0.763981,0.872523,0.410276,1.862114,2.126671,1.9905,1.6719
7,JKCEMENT,1.777,0.771836,0.893072,0.425748,1.812895,2.097655,1.9131,1.6408
8,ADANIPORTS,1.722,0.896848,0.805783,0.455787,1.967691,1.767893,2.1566,1.2874
9,TIINDIA,1.5197,0.66222,1.179303,0.502864,1.316897,2.345171,1.1332,1.9061
10,DALBHARAT,1.3518,0.880119,0.724021,0.508377,1.731234,1.424181,1.7847,0.919
11,GRASIM,1.2904,0.827829,0.626494,0.478262,1.730913,1.30994,1.7842,0.7965
12,LTM,1.2779,0.604234,0.913049,0.470338,1.28468,1.941261,1.0825,1.4732
13,APOLLOHOSP,1.2398,0.772648,0.688405,0.485211,1.592396,1.418775,1.5664,0.9132
14,WIPRO,1.1564,0.539147,0.677651,0.408015,1.321392,1.66085,1.1402,1.1726
15,MPHASIS,1.1412,0.456655,0.949394,0.453477,1.007008,2.093587,0.6459,1.6365
16,CUMMINSIND,1.1212,0.715356,0.511124,0.441629,1.619812,1.15736,1.6095,0.633
17,ASTRAL,1.1001,0.769919,0.728767,0.531804,1.447749,1.370367,1.3389,0.8613
18,TATACOMM,1.0945,0.176038,1.682511,0.557071,0.316006,3.020282,-0.4408,2.6298
19,TATASTEEL,1.0393,0.698021,0.690542,0.507134,1.376402,1.361656,1.2268,0.8519
20,GUJENERGY,1.0097,0.500994,0.70666,0.433508,1.155676,1.630098,0.8797,1.1397
