Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,RCOM,3.7135,1.895694,1.436393,0.599358,3.162875,2.396554,4.7305,2.6966
2,HCLTECH,2.8912,0.398449,0.882513,0.27623,1.442455,3.194854,2.2439,3.5385
3,IDEA,2.7739,0.585175,0.957362,0.355471,1.646195,2.693219,2.5384,3.0094
4,SUNPHARMA,2.7671,0.437869,0.762061,0.275941,1.586825,2.761685,2.4526,3.0816
5,BRITANNIA,2.6113,0.491788,0.617307,0.278246,1.767459,2.218569,2.7136,2.5089
6,DRREDDY,2.4255,0.36594,0.467529,0.225956,1.61952,2.069115,2.4998,2.3512
7,UNITDSPR,2.1905,0.379166,1.63807,0.561489,0.675287,2.917368,1.1351,3.2458
8,IPCALAB,2.1431,0.362562,0.636065,0.301872,1.201045,2.107067,1.895,2.3913
9,LUPIN,2.1219,0.353473,0.463352,0.255277,1.384664,1.815094,2.1604,2.0834
10,TCS,2.11,0.262254,0.493884,0.231233,1.134153,2.135869,1.7983,2.4216
11,EICHERMOT,1.958,0.363518,0.609141,0.325505,1.116781,1.87137,1.7732,2.1427
12,DABUR,1.7134,0.299198,0.354582,0.260245,1.149677,1.362492,1.8207,1.606
13,PAGEIND,1.6894,0.334229,0.331119,0.272823,1.225078,1.213675,1.9297,1.4491
14,TORNTPHARM,1.6003,0.282496,0.302822,0.25333,1.115132,1.195365,1.7708,1.4298
15,TECHM,1.5845,0.249175,0.430394,0.286564,0.869526,1.501909,1.4158,1.7531
16,EMAMILTD,1.5578,0.262525,0.453539,0.307724,0.853119,1.473852,1.3921,1.7235
17,AUROPHARMA,1.5542,0.469253,0.546225,0.45114,1.04015,1.210766,1.6624,1.446
18,ABIRLANUVO,1.4656,0.259926,0.436568,0.3212,0.809234,1.359177,1.3287,1.6025
19,MOTHERSON,1.4081,0.168662,0.59234,0.349055,0.483198,1.696983,0.8575,1.9588
20,BLUEDART,1.3579,0.133666,0.532132,0.315958,0.423048,1.684183,0.7705,1.9453
