Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,TRENT,3.115,0.716949,2.518711,0.356583,2.010607,7.063457,2.1727,4.0573
2,DIXON,3.0002,0.9678,1.834074,0.351403,2.754101,5.219283,3.3214,2.6789
3,SUZLON,2.5273,0.708342,3.00203,0.462967,1.530006,6.484329,1.4301,3.6245
4,RVNL,2.3371,1.150986,3.587105,0.652905,1.762868,5.494066,1.7899,2.8843
5,OIL,2.2525,0.721011,2.544013,0.452714,1.592641,5.619467,1.5269,2.978
6,INDUSTOWER,2.1851,0.946013,1.682001,0.41661,2.270738,4.03735,2.5746,1.7955
7,ETERNAL,2.1718,0.667619,1.881514,0.375079,1.779941,5.016309,1.8163,2.5272
8,MOTHERSON,2.0375,0.747415,1.092275,0.316352,2.362606,3.452721,2.7166,1.3585
9,INDIGO,1.5955,0.535324,0.915012,0.282598,1.894293,3.237855,1.993,1.1979
10,SIEMENS,1.5856,0.589945,0.963661,0.306312,1.925959,3.146009,2.0419,1.1293
11,VEDL,1.5779,0.733919,1.119141,0.370963,1.978418,3.016855,2.1229,1.0328
12,BEL,1.5652,0.621192,1.377622,0.376344,1.650595,3.660537,1.6164,1.5139
13,BAJAJ-AUTO,1.5547,0.222893,1.234175,0.240595,0.926421,5.129667,0.4975,2.612
14,HAL,1.5214,0.596012,1.49286,0.391763,1.521361,3.810625,1.4168,1.626
15,VOLTAS,1.5156,0.540715,1.04729,0.311965,1.733259,3.357081,1.7442,1.2871
16,POLICYBZR,1.5068,0.684518,1.374076,0.40326,1.697461,3.407419,1.6888,1.3247
17,COROMANDEL,1.5062,0.585294,0.634265,0.266698,2.194594,2.378214,2.457,0.5554
18,TVSMOTOR,1.4841,0.304942,1.070101,0.248034,1.229438,4.314331,0.9657,2.0025
19,KALYANKJIL,1.4608,0.573968,1.643771,0.416621,1.377672,3.94548,1.1947,1.7268
20,BHARTIARTL,1.3996,0.319165,0.758784,0.213974,1.491606,3.546151,1.3708,1.4284
