Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,HEROMOTOCO,4.2426,0.277134,0.497837,0.371344,0.746299,1.340635,3.4023,5.0828
2,COLPAL,3.0995,0.205599,0.160882,0.318672,0.645174,0.50485,3.1378,3.0613
3,TATACOMM,2.2724,0.264772,0.050132,0.648694,0.408161,0.077281,2.5178,2.0271
4,SANOFI,2.1234,0.122754,0.024096,0.396616,0.309503,0.060753,2.2597,1.9871
5,HUBTOWN,1.9985,0.286585,-0.028396,0.963504,0.297441,-0.029472,2.2282,1.7689
6,GSKCONS,1.9792,0.026825,0.079176,0.391624,0.068497,0.202174,1.6293,2.3292
7,LUPIN,1.9194,-0.130294,0.243947,0.454416,-0.286729,0.536837,0.7001,3.1386
8,HINDUNILVR,1.8974,-0.002079,0.079865,0.372044,-0.005588,0.214665,1.4355,2.3594
9,CIPLA,1.8971,0.007346,0.070766,0.377831,0.019443,0.187296,1.501,2.2932
10,UNIONBANK,1.6867,0.033727,-0.017943,0.539065,0.062565,-0.033285,1.6138,1.7597
11,NTPC,1.6717,0.068662,-0.064475,0.445919,0.153979,-0.144588,1.8529,1.4904
12,MARUTI,1.6675,0.104325,-0.103686,0.49484,0.210826,-0.209533,2.0016,1.3334
13,HINDPETRO,1.612,0.096463,-0.145363,1.497849,0.064401,-0.097048,1.6186,1.6054
14,PGHH,1.6033,-0.031585,0.023994,0.293841,-0.10749,0.081656,1.1689,2.0377
15,DABUR,1.5999,0.05637,-0.076847,0.424158,0.132898,-0.181176,1.7978,1.4019
16,GUJENERGY,1.5954,0.048077,-0.068376,0.398024,0.120789,-0.171789,1.7661,1.4246
17,MARICO,1.5873,0.038596,-0.059571,0.372829,0.103523,-0.159781,1.7209,1.4537
18,RECLTD,1.5738,0.164948,-0.208162,0.504434,0.326997,-0.412664,2.3055,0.842
19,POWERGRID,1.5232,0.033333,-0.088235,0.517571,0.064403,-0.170479,1.6186,1.4278
20,BRITANNIA,1.5093,-0.001641,-0.032814,0.307931,-0.00533,-0.106563,1.4362,1.5824
