Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,IRFC,3.0051,2.026694,4.217699,0.58266,3.478349,7.238699,2.6485,3.3618
2,TRENT,2.4822,0.956774,1.933114,0.311831,3.068245,6.199234,2.242,2.7225
3,BAJAJ-AUTO,2.3081,0.779967,1.134073,0.226047,3.450468,5.016983,2.6209,1.9954
4,DLF,2.2806,0.863599,1.514685,0.277114,3.116407,5.465937,2.2898,2.2715
5,TATAMTRDVR,2.2281,0.580323,1.874915,0.272366,2.130675,6.883816,1.3127,3.1435
6,RECLTD,2.1337,0.753751,2.743747,0.395431,1.90615,6.93862,1.0902,3.1772
7,PRESTIGE,1.9497,1.15585,1.966212,0.406804,2.841292,4.833312,2.0171,1.8824
8,BHEL,1.9213,1.051118,2.175972,0.415239,2.531356,5.240285,1.7099,2.1327
9,LUPIN,1.9005,0.4588,1.410843,0.232401,1.974176,6.070739,1.1576,2.6434
10,TMPV,1.8955,0.590356,1.194643,0.232356,2.540732,5.141423,1.7191,2.0719
11,PFC,1.8041,0.789653,2.254512,0.39458,2.001247,5.713697,1.1844,2.4239
12,PNB,1.7944,0.932,1.461774,0.332733,2.801046,4.393236,1.9772,1.6117
13,COALINDIA,1.7839,0.892351,1.028498,0.277988,3.210035,3.699793,2.3826,1.1852
14,OIL,1.6435,1.056009,1.225863,0.347856,3.035765,3.524055,2.2098,1.0772
15,ETERNAL,1.6396,0.725501,1.878952,0.362707,2.000237,5.180352,1.1834,2.0958
16,IOC,1.6094,0.821545,1.113636,0.293497,2.799161,3.794372,1.9753,1.2434
17,BPCL,1.5362,0.82269,1.016858,0.290384,2.833111,3.501769,2.009,1.0634
18,ZYDUSLIFE,1.5029,0.470282,0.990821,0.219711,2.140461,4.509662,1.3224,1.6833
19,HAL,1.4965,0.575991,1.353094,0.287377,2.004307,4.708431,1.1874,1.8056
20,HINDPETRO,1.4866,1.107072,1.507275,0.416298,2.659327,3.620664,1.8367,1.1366
