Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,BSE,4.0056,1.110901,1.506715,0.599941,1.851685,2.51144,4.7391,3.2721
2,LLOYDSME,3.541,0.532845,1.075017,0.406061,1.31223,2.647429,3.6293,3.4527
3,PAYTM,2.554,0.444476,1.036279,0.540062,0.823009,1.918816,2.6229,2.485
4,MUTHOOTFIN,2.5092,0.142466,0.652671,0.279359,0.509976,2.33632,1.979,3.0395
5,DIVISLAB,2.4456,0.168648,0.550616,0.267895,0.629529,2.055344,2.2249,2.6663
6,DIXON,2.2007,0.043189,1.083337,0.432148,0.09994,2.506864,1.1355,3.266
7,BHARTIARTL,2.0755,0.08305,0.432973,0.227084,0.365722,1.906663,1.6822,2.4689
8,BAJFINANCE,1.9771,0.238938,0.242604,0.263533,0.906673,0.920582,2.795,1.1592
9,BAJAJHLDNG,1.9644,0.231636,0.384502,0.322353,0.718578,1.1928,2.4081,1.5208
10,VEDL,1.8027,-0.010733,0.767479,0.364101,-0.029479,2.107876,0.8692,2.7361
11,UPL,1.7915,0.166876,0.352901,0.298904,0.558293,1.180652,2.0784,1.5046
12,FORTIS,1.6651,0.139978,0.397293,0.331048,0.422833,1.200106,1.7997,1.5305
13,COROMANDEL,1.6585,-0.025774,0.559704,0.28171,-0.091492,1.986813,0.7417,2.5753
14,INDHOTEL,1.6288,0.145027,0.380753,0.336251,0.431307,1.132347,1.8171,1.4405
15,WIPRO,1.5975,0.201569,0.174631,0.277674,0.72592,0.628908,2.4232,0.7718
16,SBICARD,1.5198,0.159436,0.12903,0.229781,0.693863,0.561536,2.3572,0.6824
17,GODREJIND,1.5136,0.189738,0.39588,0.423967,0.447529,0.93375,1.8505,1.1767
18,MAZDOCK,1.4067,-0.015926,0.983807,0.654257,-0.024342,1.503702,0.8798,1.9337
19,PERSISTENT,1.3987,0.14357,0.312577,0.367944,0.390194,0.849524,1.7326,1.0648
20,BAJAJFINSV,1.393,0.114548,0.172505,0.242101,0.47314,0.712536,1.9032,0.8829
