Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,ATGL,6.0675,3.044922,9.952985,0.635123,4.794222,15.67095,5.2289,6.906
2,ADANIENSOL,4.9686,2.390927,6.239239,0.521988,4.580424,11.952836,4.9491,4.9882
3,LAURUSLABS,2.985,0.897701,5.382347,0.482239,1.861529,11.161168,1.3901,4.5799
4,TATAELXSI,2.9127,1.291291,3.269237,0.419495,3.078205,7.793273,2.9827,2.8427
5,JSWSTEEL,2.7679,1.003869,2.926889,0.363912,2.758548,8.042845,2.5643,2.9714
6,PERSISTENT,2.6944,1.109447,3.344156,0.417363,2.65823,8.012582,2.433,2.9558
7,SAIL,2.4256,1.510055,3.576667,0.540152,2.795613,6.621598,2.6128,2.2383
8,TATASTEEL,2.1391,0.927135,2.74996,0.404809,2.290303,6.793228,1.9514,2.3269
9,DIXON,2.0208,0.790698,3.264938,0.433994,1.82191,7.523,1.3383,2.7033
10,JSWENERGY,1.9559,1.360492,2.260085,0.480258,2.832836,4.705982,2.6615,1.2503
11,DEEPAKNTR,1.8172,1.065271,2.66151,0.472372,2.255153,5.634355,1.9054,1.7291
12,POLYCAB,1.7543,0.803424,1.514191,0.319715,2.512938,4.736067,2.2428,1.2658
13,DALBHARAT,1.6458,0.72425,2.287356,0.385808,1.877229,5.928742,1.4107,1.881
14,TIINDIA,1.6433,0.654333,2.349842,0.375398,1.743038,6.2596,1.235,2.0516
15,ADANIENT,1.5975,0.070538,0.091544,0.025754,2.738971,3.554607,2.5387,0.6564
16,MINDTREE,1.5498,0.696223,1.688255,0.334786,2.079605,5.042789,1.6756,1.424
17,GRASIM,1.4457,0.62483,1.48401,0.30954,2.018579,4.794249,1.5957,1.2958
18,TMPV,1.3257,0.930445,2.349655,0.498441,1.86671,4.714006,1.3969,1.2544
19,GUJENERGY,1.2795,0.865957,1.259098,0.372804,2.322821,3.377372,1.9939,0.565
20,VEDL,1.2282,1.049446,2.06242,0.520833,2.014938,3.959851,1.5909,0.8654
