Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,MFSL,3.014,0.537747,0.609093,0.257954,2.084665,2.361249,2.873,3.155
2,PAYTM,2.5715,0.725239,1.207559,0.486082,1.492008,2.484268,1.8285,3.3146
3,FORTIS,2.5642,0.523189,0.76702,0.328402,1.593132,2.335609,2.0067,3.1217
4,JKCEMENT,2.541,0.475021,0.590043,0.276726,1.716575,2.132227,2.2243,2.8578
5,ABCAPITAL,2.4907,0.859778,0.31287,0.337584,2.546855,0.92679,3.6876,1.2937
6,SOLARINDS,2.3034,0.722288,0.418524,0.341567,2.114628,1.225306,2.9258,1.681
7,GVT&D,2.2701,0.912917,0.532164,0.437986,2.084352,1.215025,2.8725,1.6677
8,HDFCAMC,2.1589,0.562236,0.355743,0.2889,1.946129,1.231372,2.6289,1.6889
9,LTF,2.0582,0.637019,0.330664,0.321525,1.981242,1.028426,2.6908,1.4256
10,BOSCHLTD,1.8636,0.461285,0.226817,0.249546,1.848498,0.908919,2.4568,1.2705
11,INDIGO,1.8563,0.414478,0.414791,0.286869,1.444837,1.445926,1.7454,1.9673
12,BSE,1.8132,0.343598,1.589123,0.615147,0.558562,2.583321,0.1833,3.4431
13,POWERINDIA,1.7383,0.829209,0.60206,0.53568,1.547956,1.123917,1.9271,1.5495
14,BEL,1.5905,0.508451,0.236517,0.309184,1.644492,0.76497,2.0972,1.0837
15,BHARTIHEXA,1.5002,0.3993,0.610113,0.403023,0.990763,1.513842,0.9451,2.0554
16,COROMANDEL,1.4534,0.418934,0.38491,0.342237,1.224104,1.124689,1.3563,1.5505
17,TVSMOTOR,1.4499,0.392653,0.249753,0.281491,1.394907,0.887253,1.6574,1.2424
18,DALBHARAT,1.4456,0.286619,0.31606,0.254154,1.127738,1.243579,1.1865,1.7047
19,NAM-INDIA,1.4087,0.658866,0.22848,0.413246,1.594368,0.552891,2.0089,0.8085
20,ENDURANCE,1.3914,0.559499,0.131405,0.33115,1.689563,0.396814,2.1767,0.606
