Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,IGL,2.5434,0.497161,0.652641,0.261786,1.899113,2.493031,3.1017,1.9851
2,HINDZINC,2.4555,0.521919,1.10485,0.359976,1.449872,3.069237,2.3261,2.5848
3,VEDL,2.4241,0.598221,2.891697,0.717409,0.833863,4.030749,1.2626,3.5855
4,VAKRANGEE,2.3965,0.574309,0.839625,0.33432,1.717841,2.511443,2.7888,2.0043
5,BIOCON,2.336,0.424493,0.988444,0.322725,1.315342,3.06281,2.0939,2.5781
6,INDIANB,2.1831,0.658381,1.630261,0.549872,1.197335,2.964801,1.8901,2.4761
7,JUBLPHARMA,2.0519,1.158155,0.845891,0.58889,1.966674,1.436416,3.2183,0.8854
8,HINDALCO,2.0249,0.356983,1.530641,0.456828,0.781438,3.350583,1.1721,2.8776
9,JSWSTEEL,2.0146,0.204218,0.996504,0.288579,0.707667,3.453142,1.0447,2.9844
10,BALKRISIND,1.9732,0.63716,0.757465,0.398979,1.596979,1.898511,2.5801,1.3664
11,NATIONALUM,1.9237,0.562566,1.084151,0.453097,1.241602,2.39276,1.9666,1.8808
12,YESBANK,1.8525,0.197722,1.083697,0.327115,0.604443,3.312894,0.8665,2.8384
13,TATACOMM,1.8222,0.478524,0.624306,0.333093,1.436606,1.874269,2.3032,1.3411
14,IOC,1.799,0.372267,0.677019,0.307292,1.211445,2.203179,1.9145,1.6834
15,COROMANDEL,1.7706,0.367194,0.90722,0.36465,1.006978,2.487922,1.5615,1.9798
16,MRF,1.721,0.522325,0.38908,0.309012,1.690305,1.259107,2.7412,0.7009
17,AIAENG,1.6963,0.311813,0.713698,0.306556,1.017149,2.328119,1.579,1.8135
18,CUB,1.6626,0.186656,0.76231,0.271329,0.687931,2.809539,1.0107,2.3145
19,HINDPETRO,1.6278,0.423771,0.874709,0.406222,1.0432,2.153277,1.624,1.6315
20,UPL,1.6082,0.298605,0.859997,0.352379,0.847398,2.440549,1.286,1.9305
