Rank,Symbol,MomentumScore,Return6M,Return12M,AnnualVolatility,Ratio6M,Ratio12M,Z_6M,Z_12M
1,JINDALSTEL,3.1676,1.699858,2.946143,0.424009,4.00901,6.948295,2.9499,3.3853
2,GOLDTECH,3.1562,1.435496,6.597561,0.663204,2.164486,9.948007,1.1225,5.1899
3,RNRL,3.0652,3.047297,2.95815,0.603836,5.046566,4.89893,3.9779,2.1525
4,RELINFRA,2.9392,1.892918,2.023384,0.401898,4.709942,5.034568,3.6444,2.2341
5,IFCI,2.837,1.438746,7.56,0.79744,1.804207,9.480341,0.7655,4.9086
6,RELCAPITAL,2.1901,1.642756,1.990122,0.455846,3.603755,4.36578,2.5484,1.8318
7,GMRAIRPORT,2.1691,1.443959,2.842829,0.510306,2.829594,5.570832,1.7814,2.5567
8,EDUCOMP,1.9893,1.647045,2.674252,0.559191,2.945406,4.782356,1.8962,2.0824
9,LT,1.9035,0.995189,1.446182,0.330032,3.015433,4.381946,1.9655,1.8415
10,RELIANCE,1.8704,0.834466,1.127507,0.270818,3.081276,4.163335,2.0308,1.71
11,RELIANCE,1.8704,0.834466,1.127507,0.270818,3.081276,4.163335,2.0308,1.71
12,DIVISLAB,1.835,1.167235,2.243866,0.456803,2.555228,4.912112,1.5096,2.1604
13,KOTAKBANK,1.7419,1.032905,1.824362,0.400126,2.581451,4.559471,1.5356,1.9483
14,ABB,1.689,0.930145,1.36898,0.335941,2.768774,4.075058,1.7212,1.6569
15,ADANIENT,1.6801,0.01627,0.019082,0.005331,3.051908,3.579282,2.0017,1.3586
16,VEDL,1.5734,0.855987,3.533597,0.599155,1.428657,5.897634,0.3934,2.7533
17,OPTOCIRCUI,1.4484,0.861277,1.554211,0.379402,2.270093,4.096479,1.2271,1.6697
18,JPPOWER,1.4424,1.581272,1.360258,0.507283,3.117141,2.68146,2.0663,0.8185
19,THERMAX,1.4152,0.904543,1.274224,0.357811,2.527994,3.561169,1.4826,1.3477
20,UNITDSPR,1.3841,1.205888,1.889675,0.508523,2.371355,3.71601,1.3274,1.4409
