Rank,Symbol,Momentum,Volatility,Score
1,POWERINDIA,0.480969,0.030453,15.7937
2,ABB,0.317267,0.022912,13.8471
3,ONGC,0.247083,0.019945,12.3883
4,PREMIERENE,0.309757,0.028996,10.6826
5,GVT&D,0.302638,0.030622,9.8829
6,LINDEINDIA,0.222099,0.023953,9.2724
7,CUMMINSIND,0.191695,0.021098,9.0859
8,POWERGRID,0.149634,0.016799,8.9071
9,APARINDS,0.312889,0.035877,8.7211
10,DMART,0.165127,0.019227,8.5884
11,VEDL,0.221308,0.026182,8.4525
12,ADANIPOWER,0.206033,0.024967,8.2521
13,BHARATFORG,0.196204,0.024287,8.0785
14,ICICIAMC,0.195961,0.024783,7.9071
15,JINDALSTEL,0.183504,0.023825,7.702
16,PFC,0.171296,0.02306,7.4282
17,WAAREEENER,0.237339,0.032168,7.3781
18,THERMAX,0.154733,0.021021,7.361
19,NATIONALUM,0.236432,0.03384,6.9867
20,BSE,0.209131,0.030304,6.9011
