Rank,Symbol,Momentum,Volatility,Score
1,ADANIENSOL,0.923777,0.029494,31.3207
2,TVSMOTOR,0.393029,0.016497,23.8239
3,HONAUT,0.368465,0.017516,21.0356
4,ADANIENT,0.058531,0.002864,20.4387
5,SKFINDIA,0.406475,0.020094,20.2286
6,ABB,0.44014,0.021979,20.0257
7,PIDILITIND,0.298481,0.015697,19.0151
8,OBEROIRLTY,0.35611,0.018757,18.9858
9,FEDERALBNK,0.307819,0.018175,16.9366
10,VBL,0.421731,0.025138,16.7765
11,SCHAEFFLER,0.379363,0.022733,16.6879
12,EICHERMOT,0.285892,0.017713,16.14
13,PIIND,0.277498,0.017268,16.0702
14,RECLTD,0.23929,0.014903,16.0567
15,BEL,0.313887,0.019571,16.0385
16,GRASIM,0.270069,0.016848,16.0296
17,INDHOTEL,0.288306,0.018256,15.7923
18,BAJAJFINSV,0.390687,0.024813,15.7454
19,TORNTPOWER,0.269955,0.017383,15.5297
20,TIINDIA,0.443671,0.028795,15.408
