Rank,Symbol,Momentum,Volatility,Score
1,SUNPHARMA,0.138147,0.032244,4.2844
2,RANBAXY,0.096976,0.025939,3.7386
3,GLAXO,0.029497,0.027029,1.0913
4,HINDUNILVR,0.015257,0.029464,0.5178
5,HEROMOTOCO,0.008873,0.026754,0.3317
6,ASIANPAINT,0.001536,0.030607,0.0502
7,JSWDULUX,-0.005693,0.022556,-0.2524
8,GODREJCP,-0.008397,0.030595,-0.2745
9,JISLJALEQS,-0.020578,0.0349,-0.5896
10,JUBLPHARMA,-0.043606,0.02705,-1.612
11,CIPLA,-0.049688,0.026991,-1.8409
12,PUNJABTRAC,-0.113357,0.060188,-1.8834
13,AIAENG,-0.055971,0.029058,-1.9262
14,MOTHERSON,-0.105615,0.041719,-2.5316
15,NATIONALUM,-0.121991,0.047515,-2.5674
16,CAIRN,-0.103083,0.039607,-2.6026
17,VEDL,-0.142066,0.054298,-2.6164
18,BAJAJHIND,-0.234432,0.085261,-2.7496
19,HINDALCO,-0.145574,0.046617,-3.1228
20,GOLDTECH,-0.105779,0.033645,-3.1439
